#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0617933   0.0617933           0
           2   0.0673133   0.0645533  0.00195161
           3   0.0549347   0.0613471  0.00292336
           4   0.0527773   0.0592047  0.00287223
           5   0.0711707   0.0615979  0.00314034
           6    0.062196   0.0616976  0.00261853
           7   0.0501013    0.060041  0.00271843
           8   0.0603453    0.060079  0.00237889
           9   0.0734813   0.0615681  0.00253822
          10   0.0568787   0.0610992  0.00232732
          11    0.063072   0.0612785  0.00212264
          12     0.05846   0.0610437  0.00195871
          13    0.065696   0.0614015  0.00184044
          14   0.0482787   0.0604642    0.001933
          15   0.0552053   0.0601136  0.00183565
          16   0.0609427   0.0601654  0.00172165
          17   0.0444533   0.0592412  0.00185192
          18   0.0624133   0.0594174   0.0017574
          19   0.0521347   0.0590341  0.00170619
          20   0.0616827   0.0591665  0.00162601
          21    0.051828   0.0588171  0.00158569
          22    0.065872   0.0591378   0.0015457
          23    0.050308   0.0587539  0.00152543
          24   0.0629907   0.0589304  0.00147205
          25    0.042316   0.0582658  0.00155596
          26    0.062976    0.058447  0.00150663
          27   0.0709987   0.0589119  0.00152086
          28     0.05296   0.0586993  0.00148132
          29   0.0615093   0.0587962  0.00143341
          30   0.0728453   0.0592645  0.00146012
          31   0.0624267   0.0593665  0.00141658
          32   0.0762333   0.0598936   0.0014671
          33   0.0583973   0.0598482  0.00142334
          34   0.0545093   0.0596912  0.00139012
          35   0.0569387   0.0596126  0.00135262
          36   0.0573747   0.0595504  0.00131648
          37   0.0474133   0.0592224  0.00132113
          38   0.0509973   0.0590059  0.00130398
          39   0.0539507   0.0588763  0.00127697
          40    0.055944    0.058803  0.00124714
          41    0.057344   0.0587674  0.00121723
          42   0.0587347   0.0587666  0.00118825
          43     0.06048   0.0588065  0.00116129
          44    0.052668    0.058667  0.00114324
          45    0.063308   0.0587701  0.00112248
          46    0.050532    0.058591  0.00111227
          47   0.0483173   0.0583724  0.00110988
          48    0.055012   0.0583024  0.00108896
          49    0.058736   0.0583113  0.00106677
          50   0.0534853   0.0582147   0.0010498
