#   N_BLOCK:  ACCEPTANCE:
           1   0.0594573
           2   0.0650833
           3   0.0668409
           4   0.0661365
           5   0.0662921
           6   0.0661561
           7   0.0658004
           8   0.0658407
           9   0.0656636
          10   0.0660309
          11   0.0657099
          12   0.0658268
          13   0.0655945
          14   0.0655772
          15   0.0655848
          16   0.0656744
          17   0.0656245
          18   0.0654717
          19   0.0654232
          20   0.0655767
          21   0.0656646
          22   0.0657427
          23   0.0657231
          24   0.0656409
          25   0.0654693
          26   0.0653824
          27   0.0654763
          28   0.0654843
          29   0.0654445
          30   0.0655386
          31   0.0654609
          32   0.0654691
          33   0.0655618
          34   0.0656133
          35   0.0654752
          36   0.0653584
          37   0.0652622
          38   0.0651889
          39   0.0651882
          40   0.0651432
          41   0.0651247
          42   0.0650422
          43   0.0649704
          44   0.0649739
          45   0.0649945
          46   0.0649783
          47   0.0649263
          48   0.0648314
          49    0.064802
          50   0.0648352
