#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.539037    0.539037           0
           2    0.623435    0.581236    0.029839
           3     0.56918    0.577217   0.0201614
           4    0.682828     0.60362    0.027413
           5    0.662873    0.615471   0.0243576
           6    0.747871    0.637537    0.028597
           7    0.714104    0.648475   0.0265212
           8    0.642819    0.647768   0.0232155
           9    0.624233    0.645153   0.0207828
          10    0.679733    0.648611     0.01899
          11    0.561812     0.64072   0.0188318
          12      0.6417    0.640802   0.0172627
          13    0.706091    0.645824   0.0166493
          14    0.723575    0.651378   0.0163601
          15     0.72886    0.656543   0.0160642
          16    0.669409    0.657347   0.0150803
          17    0.626485    0.655532   0.0143021
          18    0.649291    0.655185   0.0135117
          19    0.632492    0.653991   0.0128533
          20    0.679649    0.655274   0.0122745
          21    0.699027    0.657357   0.0118655
          22    0.711128    0.659801   0.0115751
          23    0.629804    0.658497   0.0111451
          24    0.744876    0.662096   0.0112469
          25    0.719301    0.664385   0.0110273
          26    0.686441    0.665233   0.0106357
          27    0.675536    0.665614   0.0102487
          28    0.630528    0.664361  0.00995896
          29    0.690917    0.665277  0.00965756
          30    0.730904    0.667465  0.00958019
          31    0.632839    0.666348  0.00933604
          32    0.721924    0.668084  0.00920441
          33    0.698352    0.669002  0.00897107
          34    0.692681    0.669698  0.00873421
          35    0.771833    0.672616  0.00895889
          36     0.67812    0.672769  0.00871134
          37    0.703759    0.673607  0.00851607
          38    0.745383    0.675496  0.00849885
          39    0.607059    0.673741  0.00846015
          40    0.746121     0.67555  0.00843994
          41    0.591548    0.673501  0.00847913
          42    0.579027    0.671252  0.00857042
          43    0.728395    0.672581  0.00847351
          44    0.723415    0.673736  0.00835932
          45    0.652556    0.673266  0.00818679
          46    0.651376     0.67279  0.00802264
          47    0.642437    0.672144  0.00787789
          48    0.727381    0.673295  0.00779737
          49    0.734077    0.674535  0.00773628
          50    0.669883    0.674442  0.00758211
