#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435175    0.435175           0
           2    0.435878    0.435526 0.000248781
           3    0.417365    0.429473  0.00494566
           4    0.428678    0.429274  0.00371323
           5    0.417754     0.42697  0.00361536
           6    0.416013    0.425144  0.00344325
           7    0.425817     0.42524   0.0029527
           8    0.448843     0.42819  0.00378046
           9    0.417552    0.427008  0.00354039
          10    0.423887    0.426696  0.00320008
          11     0.42433    0.426481  0.00291638
          12    0.412579    0.425323  0.00289433
          13    0.428604    0.425575  0.00268268
          14    0.398353    0.423631  0.00311706
          15    0.449498    0.425355  0.00335252
          16    0.430421    0.425672   0.0031579
          17    0.407909    0.424627  0.00314024
          18     0.43119    0.424992  0.00298688
          19    0.406608    0.424024  0.00298227
          20    0.421541      0.4239  0.00283573
          21    0.420144    0.423721  0.00270633
          22    0.399006    0.422598  0.00280682
          23    0.449138    0.423752  0.00291235
          24    0.427236    0.423897  0.00279462
          25    0.419757    0.423731  0.00268773
          26    0.408627     0.42315   0.0026464
          27    0.395732    0.422135  0.00273629
          28    0.430159    0.422421  0.00265353
          29    0.414538    0.422149  0.00257591
          30     0.42714    0.422316  0.00249541
          31    0.406152    0.421794  0.00246879
          32    0.440393    0.422376   0.0024591
          33     0.43494    0.422756  0.00241387
          34    0.447115    0.423473  0.00244688
          35    0.436228    0.423837  0.00240396
          36    0.406657     0.42336  0.00238408
          37    0.420494    0.423283   0.0023209
          38    0.430059    0.423461  0.00226667
          39    0.427683    0.423569  0.00221113
          40     0.41602     0.42338  0.00216389
          41    0.419392    0.423283   0.0021133
          42     0.42001    0.423205  0.00206442
          43    0.434293    0.423463  0.00203245
          44    0.431205    0.423639  0.00199386
          45    0.399515    0.423103  0.00202034
          46    0.409578    0.422809   0.0019977
          47    0.421947    0.422791  0.00195528
          48       0.428    0.422899  0.00191756
          49    0.428969    0.423023  0.00188242
          50    0.441788    0.423398  0.00188181
