#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.67479     1.67479           0
           2     1.69378     1.68428  0.00671647
           3     1.64256     1.67038   0.0122055
           4      1.6794     1.67263   0.0093604
           5     1.70558     1.67922  0.00952916
           6       1.674     1.67835  0.00798057
           7     1.67138     1.67736  0.00690239
           8     1.68091      1.6778  0.00605387
           9     1.65644     1.67543  0.00582811
          10     1.64394     1.67228  0.00603625
          11     1.66959     1.67203  0.00549243
          12     1.70138     1.67448  0.00555245
          13      1.6628     1.67358  0.00519754
          14     1.65542     1.67228  0.00498555
          15     1.73043     1.67616  0.00597288
          16     1.64924     1.67448  0.00583176
          17     1.70583     1.67632  0.00577295
          18     1.71368      1.6784  0.00581327
          19     1.69813     1.67944  0.00559932
          20     1.67212     1.67907   0.0053313
          21     1.63312     1.67688  0.00550811
          22     1.66437     1.67631  0.00528702
          23     1.71302     1.67791  0.00529251
          24     1.74142     1.68055  0.00569527
          25     1.67889     1.68049  0.00546785
          26     1.66952     1.68007  0.00527381
          27     1.72272     1.68165  0.00530982
          28     1.68504     1.68177  0.00512157
          29     1.68358     1.68183  0.00494535
          30     1.70985     1.68276   0.0048679
          31     1.71655     1.68385  0.00483133
          32     1.71659     1.68488  0.00478744
          33     1.71649     1.68583  0.00473726
          34     1.73622     1.68732  0.00482417
          35     1.66312     1.68663  0.00473563
          36     1.71871     1.68752  0.00468719
          37     1.70326     1.68794  0.00457978
          38      1.6798     1.68773  0.00446427
          39     1.67402     1.68738  0.00436362
          40     1.65619      1.6866  0.00432362
          41      1.7286     1.68762  0.00433783
          42     1.69038     1.68769  0.00423505
          43     1.75993     1.68937  0.00445735
          44     1.67566     1.68905  0.00436691
          45     1.70764     1.68947  0.00428936
          46     1.67286     1.68911  0.00421128
          47     1.67564     1.68882  0.00413142
          48     1.70401     1.68914  0.00405746
          49     1.67806     1.68891  0.00398095
          50      1.6543     1.68822  0.00396104
