#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200742    0.200742           0
           2    0.198455    0.199599 0.000808562
           3    0.194022     0.19774  0.00161079
           4    0.197207    0.197607  0.00121359
           5    0.196318    0.197349 0.000997861
           6    0.199621    0.197728 0.000900522
           7    0.198134    0.197786 0.000773742
           8    0.195135    0.197454 0.000744586
           9    0.195506    0.197238 0.000692623
          10    0.196881    0.197202 0.000624277
          11    0.197848    0.197261 0.000570282
          12    0.199936    0.197484 0.000564657
          13    0.197713    0.197501 0.000521497
          14    0.195403    0.197352 0.000505328
          15    0.198039    0.197397 0.000473714
          16    0.195054    0.197251 0.000466204
          17    0.195479    0.197147 0.000450281
          18    0.197601    0.197172 0.000425971
          19    0.193995    0.197005 0.000435127
          20    0.195786    0.196944 0.000417613
          21    0.196215    0.196909 0.000399165
          22    0.194349    0.196793 0.000397618
          23    0.193984    0.196671 0.000398636
          24      0.1954    0.196618 0.000385524
          25     0.19353    0.196494 0.000389384
          26    0.197374    0.196528 0.000375877
          27    0.196854     0.19654  0.00036215
          28    0.198959    0.196627 0.000359375
          29    0.198186     0.19668 0.000350982
          30    0.193863    0.196586 0.000351623
          31    0.192849    0.196466 0.000360352
          32    0.196656    0.196472  0.00034914
          33    0.199071    0.196551 0.000347328
          34    0.197208     0.19657 0.000337649
          35    0.197244    0.196589 0.000328552
          36    0.196531    0.196588 0.000319429
          37    0.196873    0.196595 0.000310889
          38     0.19342    0.196512 0.000313736
          39    0.197457    0.196536 0.000306625
          40    0.192922    0.196446 0.000311986
          41    0.196387    0.196444  0.00030438
          42    0.194918    0.196408 0.000299294
          43    0.199137    0.196471 0.000298989
          44    0.197308     0.19649 0.000292797
          45    0.195076    0.196459 0.000287973
          46    0.197339    0.196478 0.000282348
          47    0.197175    0.196493 0.000276729
          48    0.197471    0.196513 0.000271713
          49    0.193958    0.196461 0.000271125
          50    0.195911     0.19645 0.000265925
