#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0277307   0.0277307           0
           2   0.0322453    0.029988  0.00159618
           3    0.025508   0.0284947  0.00161835
           4   0.0192947   0.0261947  0.00233253
           5   0.0320373   0.0273632  0.00213879
           6    0.030144   0.0278267  0.00183185
           7   0.0267947   0.0276792  0.00157608
           8   0.0224867   0.0270302  0.00150681
           9    0.033664   0.0277673  0.00150894
          10   0.0245693   0.0274475  0.00139152
          11   0.0325107   0.0279078  0.00133898
          12   0.0280813   0.0279222  0.00122748
          13   0.0266947   0.0278278  0.00113668
          14   0.0198227    0.027256  0.00119065
          15   0.0239773   0.0270374  0.00113116
          16   0.0271827   0.0270465   0.0010605
          17    0.021132   0.0266986  0.00105364
          18    0.030112   0.0268882  0.00101203
          19   0.0281293   0.0269535  0.00096087
          20   0.0258253   0.0268971 0.000914481
          21   0.0243133   0.0267741 0.000879172
          22    0.028068   0.0268329 0.000841175
          23   0.0189587   0.0264906 0.000871491
          24      0.0323   0.0267326 0.000868145
          25    0.022876   0.0265783 0.000847015
          26    0.026352   0.0265696 0.000814482
          27    0.029392   0.0266742 0.000790995
          28   0.0274773   0.0267029 0.000763265
          29   0.0302267   0.0268244 0.000746555
          30   0.0308413   0.0269583  0.00073358
          31   0.0286533   0.0270129 0.000711951
          32   0.0330627    0.027202 0.000714362
          33    0.027744   0.0272184 0.000692904
          34   0.0267933   0.0272059 0.000672637
          35   0.0203013   0.0270086 0.000681734
          36   0.0262907   0.0269887 0.000663089
          37   0.0228067   0.0268757  0.00065473
          38   0.0229747    0.026773 0.000645498
          39   0.0311333   0.0268848 0.000638556
          40    0.023456   0.0267991 0.000628319
          41   0.0258507    0.026776  0.00061342
          42    0.028212   0.0268102 0.000599767
          43   0.0248987   0.0267657 0.000587464
          44   0.0218347   0.0266536 0.000584704
          45   0.0279093   0.0266815 0.000572376
          46   0.0236493   0.0266156 0.000563716
          47     0.01862   0.0264455 0.000576821
          48   0.0260907   0.0264381 0.000564851
          49   0.0292253    0.026495  0.00055618
          50    0.027452   0.0265141 0.000545386
