#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -5.45154    -5.45613  0.00224588
         153    -5.45162     -5.4561  0.00223139
         154    -5.45201    -5.45608  0.00221706
         155    -5.45304    -5.45606  0.00220284
         156    -5.45309    -5.45604   0.0021888
         157    -5.45313    -5.45602  0.00217494
         158    -5.45316      -5.456  0.00216125
         159    -5.45318    -5.45598  0.00214773
         160    -5.45319    -5.45597  0.00213438
         161    -5.45286    -5.45595  0.00212121
         162    -5.45221    -5.45593  0.00210824
         163    -5.45155     -5.4559  0.00209548
         164    -5.45153    -5.45587  0.00208287
         165    -5.45085    -5.45584  0.00207047
         166    -5.45081    -5.45581  0.00205822
         167    -5.45044    -5.45578  0.00204614
         168    -5.45039    -5.45575  0.00203422
         169    -5.45034    -5.45571  0.00202243
         170     -5.4506    -5.45568  0.00201076
         171    -5.45053    -5.45565  0.00199922
         172    -5.45079    -5.45563   0.0019878
         173    -5.45039     -5.4556  0.00197654
         174    -5.45031    -5.45557  0.00196542
         175    -5.45022    -5.45553  0.00195442
         176    -5.45013     -5.4555  0.00194356
         177    -5.45004    -5.45547  0.00193282
         178    -5.44962    -5.45544  0.00192224
         179    -5.44953    -5.45541  0.00191179
         180    -5.44943    -5.45537  0.00190146
         181    -5.44932    -5.45534  0.00189125
         182    -5.44922    -5.45531  0.00188115
         183    -5.44911    -5.45527  0.00187118
         184    -5.44901    -5.45524  0.00186132
         185    -5.44923    -5.45521  0.00185154
         186    -5.44944    -5.45518  0.00184185
         187    -5.44966    -5.45515  0.00183223
         188    -5.44955    -5.45512  0.00182273
         189    -5.44944    -5.45509  0.00181333
         190    -5.44933    -5.45506  0.00180404
         191    -5.44922    -5.45503  0.00179486
         192    -5.44879    -5.45499   0.0017858
         193    -5.44836    -5.45496  0.00177688
         194    -5.44826    -5.45492  0.00176806
         195    -5.44847    -5.45489   0.0017593
         196    -5.44805    -5.45486  0.00175067
         197    -5.44795    -5.45482  0.00174213
         198    -5.44785    -5.45479  0.00173369
         199    -5.44743    -5.45475  0.00172537
         200    -5.44733    -5.45471  0.00171714
         201    -5.44692    -5.45467  0.00170904
         202    -5.44683    -5.45463  0.00170102
         203    -5.44641    -5.45459  0.00169312
         204      -5.446    -5.45455  0.00168535
         205    -5.44592    -5.45451  0.00167765
         206    -5.44616    -5.45447     0.00167
         207    -5.44641    -5.45443  0.00166238
         208    -5.44633    -5.45439  0.00165485
         209    -5.44658    -5.45435  0.00164735
         210    -5.44651    -5.45432  0.00163993
         211     -5.4471    -5.45428  0.00163251
         212    -5.44671    -5.45425   0.0016252
         213    -5.44697    -5.45421  0.00161793
         214    -5.44724    -5.45418   0.0016107
         215    -5.44751    -5.45415  0.00160351
         216    -5.44746    -5.45412  0.00159638
         217    -5.44709    -5.45409  0.00158936
         218    -5.44736    -5.45405  0.00158236
         219    -5.44732    -5.45402  0.00157544
         220    -5.44696    -5.45399   0.0015686
         221    -5.44725    -5.45396   0.0015618
         222    -5.44722    -5.45393  0.00155506
         223    -5.44686     -5.4539  0.00154841
         224    -5.44716    -5.45387  0.00154179
         225    -5.44713    -5.45384  0.00153523
         226    -5.44711    -5.45381  0.00152872
         227    -5.44677    -5.45378  0.00152231
         228     -5.4474    -5.45375  0.00151589
         229    -5.44706    -5.45372  0.00150955
         230    -5.44705    -5.45369  0.00150326
         231    -5.44736    -5.45366    0.001497
         232    -5.44768    -5.45364  0.00149077
         233    -5.44703    -5.45361  0.00148465
         234    -5.44735    -5.45358  0.00147854
         235    -5.44735    -5.45356  0.00147249
         236    -5.44768    -5.45353  0.00146646
         237    -5.44768    -5.45351  0.00146048
         238    -5.44801    -5.45348  0.00145453
         239    -5.44834    -5.45346   0.0014486
         240      -5.449    -5.45344  0.00144268
         241    -5.44933    -5.45343   0.0014368
         242    -5.44934    -5.45341  0.00143096
         243    -5.44936    -5.45339  0.00142517
         244     -5.4497    -5.45338  0.00141941
         245    -5.44972    -5.45336  0.00141369
         246    -5.44973    -5.45335  0.00140802
         247    -5.45008    -5.45334  0.00140239
         248    -5.44977    -5.45332   0.0013968
         249    -5.45012    -5.45331  0.00139125
         250    -5.45047     -5.4533  0.00138574
         251    -5.45017    -5.45328  0.00138027
         252    -5.44987    -5.45327  0.00137486
         253     -5.4499    -5.45326  0.00136949
         254    -5.45058    -5.45325  0.00136414
         255    -5.45125    -5.45324  0.00135881
         256    -5.45128    -5.45323  0.00135353
         257    -5.45196    -5.45323  0.00134827
         258    -5.45199    -5.45322  0.00134305
         259    -5.45138    -5.45321  0.00133788
         260    -5.45109    -5.45321  0.00133276
         261    -5.45112     -5.4532  0.00132768
         262    -5.45148    -5.45319  0.00132263
         263    -5.45184    -5.45319  0.00131761
         264    -5.45221    -5.45318  0.00131262
         265    -5.45224    -5.45318  0.00130768
         266    -5.45261    -5.45318  0.00130276
         267    -5.45264    -5.45318  0.00129788
         268    -5.45268    -5.45317  0.00129304
         269    -5.45239    -5.45317  0.00128824
         270    -5.45211    -5.45317  0.00128347
         271    -5.45247    -5.45316  0.00127874
         272    -5.45251    -5.45316  0.00127404
         273    -5.45255    -5.45316  0.00126938
         274    -5.45226    -5.45316  0.00126475
         275    -5.45262    -5.45315  0.00126015
         276    -5.45266    -5.45315  0.00125559
         277    -5.45302    -5.45315  0.00125105
         278    -5.45338    -5.45315  0.00124655
         279    -5.45407    -5.45316  0.00124209
         280     -5.4541    -5.45316  0.00123766
         281    -5.45414    -5.45316  0.00123326
         282    -5.45353    -5.45316  0.00122889
         283    -5.45356    -5.45317  0.00122454
         284    -5.45327    -5.45317  0.00122023
         285    -5.45362    -5.45317  0.00121595
         286    -5.45333    -5.45317   0.0012117
