#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         175     11.4438     9.22564    0.233149
         176     11.4195      9.2381    0.232158
         177     11.3956     9.25029    0.231166
         178     11.3728     9.26222    0.230175
         179     11.3497     9.27388    0.229184
         180     11.3271     9.28529    0.228194
         181     11.3049     9.29644    0.227206
         182     11.2831     9.30736     0.22622
         183     11.2618     9.31804    0.225236
         184      11.241     9.32849    0.224254
         185       11.22     9.33871    0.223275
         186     11.1995     9.34872    0.222298
         187     11.1794     9.35851    0.221325
         188     11.1606     9.36809    0.220355
         189     11.1422     9.37748    0.219389
         190     11.1243     9.38667    0.218427
         191      11.107     9.39568    0.217469
         192     11.0908     9.40451    0.216515
         193     11.0751     9.41317    0.215567
         194     11.0592     9.42165    0.214622
         195     11.0431     9.42997    0.213683
         196     11.0289     9.43812    0.212748
         197     11.0144     9.44613    0.211819
         198     11.0004     9.45397    0.210894
         199     10.9876     9.46168    0.209975
         200     10.9745     9.46925    0.209062
         201     10.9625     9.47667    0.208153
         202     10.9503     9.48397    0.207251
         203     10.9392     9.49114    0.206354
         204     10.9285     9.49818    0.205462
         205     10.9176     9.50511    0.204577
         206     10.9063     9.51191    0.203697
         207     10.8953     9.51859    0.202822
         208     10.8855     9.52516    0.201954
         209     10.8753     9.53162    0.201091
         210     10.8661     9.53798    0.200234
         211     10.8559     9.54423    0.199382
         212      10.848     9.55038    0.198536
         213     10.8391     9.55643    0.197696
         214     10.8305     9.56238    0.196862
         215     10.8221     9.56824    0.196034
         216     10.8147     9.57401    0.195211
         217     10.8082      9.5797    0.194394
         218     10.8006      9.5853    0.193583
         219     10.7939     9.59082    0.192778
         220     10.7881     9.59626    0.191978
         221     10.7811     9.60162    0.191185
         222     10.7749      9.6069    0.190396
         223     10.7696     9.61212    0.189614
         224     10.7631     9.61726    0.188837
         225     10.7574     9.62232    0.188066
         226     10.7519     9.62732      0.1873
         227     10.7471     9.63226     0.18654
         228     10.7403     9.63712    0.185785
         229     10.7358     9.64191    0.185036
         230     10.7306     9.64665    0.184292
         231     10.7248     9.65131    0.183553
         232      10.719     9.65592     0.18282
         233     10.7154     9.66046    0.182092
         234     10.7097     9.66495    0.181369
         235     10.7047     9.66937    0.180651
         236     10.6991     9.67373    0.179938
         237     10.6941     9.67804     0.17923
         238     10.6885     9.68229    0.178527
         239     10.6828     9.68647     0.17783
         240     10.6764      9.6906    0.177136
         241     10.6706     9.69466    0.176448
         242     10.6656     9.69867    0.175765
         243     10.6604     9.70263    0.175086
         244     10.6545     9.70653    0.174412
         245     10.6493     9.71038    0.173742
         246     10.6439     9.71418    0.173077
         247     10.6378     9.71792    0.172417
         248      10.633     9.72161    0.171761
         249     10.6267     9.72524     0.17111
         250     10.6203     9.72882    0.170463
         251     10.6152     9.73235     0.16982
         252       10.61     9.73584    0.169182
         253     10.6039     9.73927    0.168548
         254     10.5964     9.74264    0.167919
         255     10.5886     9.74596    0.167293
         256     10.5822     9.74923    0.166671
         257     10.5742     9.75244    0.166054
         258     10.5675     9.75559     0.16544
         259      10.562     9.75871    0.164831
         260     10.5557     9.76177    0.164225
         261     10.5484     9.76479    0.163624
         262     10.5404     9.76775    0.163026
         263     10.5321     9.77065    0.162432
         264     10.5237     9.77351    0.161842
         265     10.5158     9.77631    0.161255
         266      10.507     9.77905    0.160672
         267     10.4988     9.78175    0.160093
         268     10.4904     9.78439    0.159518
         269     10.4825     9.78699    0.158946
         270     10.4744     9.78954    0.158377
         271     10.4647     9.79203    0.157813
         272     10.4555     9.79447    0.157251
         273     10.4462     9.79685    0.156693
         274     10.4374     9.79919    0.156139
         275     10.4269     9.80147    0.155588
         276      10.417      9.8037     0.15504
         277     10.4062     9.80588    0.154496
         278     10.3953       9.808    0.153954
         279     10.3834     9.81006    0.153416
         280     10.3728     9.81207    0.152882
         281      10.362     9.81403     0.15235
         282     10.3524     9.81594    0.151822
         283     10.3412     9.81779    0.151297
         284     10.3306      9.8196    0.150775
         285     10.3185     9.82135    0.150256
         286     10.3075     9.82305     0.14974
         287     10.2943     9.82469    0.149227
         288     10.2817     9.82628    0.148718
         289     10.2682     9.82781    0.148211
         290     10.2546     9.82928    0.147707
         291     10.2423      9.8307    0.147206
         292     10.2291     9.83206    0.146709
         293     10.2186     9.83338    0.146214
         294     10.2059     9.83465    0.145722
         295     10.1931     9.83587    0.145233
         296     10.1809     9.83703    0.144747
         297     10.1679     9.83815    0.144264
         298     10.1563     9.83921    0.143784
         299     10.1431     9.84023    0.143307
         300     10.1299     9.84119    0.142832
         301      10.118     9.84211    0.142361
         302     10.1047     9.84298    0.141892
         303     10.0913      9.8438    0.141426
         304     10.0785     9.84457    0.140963
         305     10.0651      9.8453    0.140502
         306     10.0523     9.84597    0.140045
         307     10.0395      9.8466     0.13959
         308     10.0259     9.84719    0.139138
         309     10.0131     9.84772    0.138689
         310      9.9989     9.84821    0.138242
         311     9.98469     9.84865    0.137799
         312     9.97122     9.84904    0.137358
         313     9.95847     9.84939    0.136919
         314     9.94436      9.8497    0.136483
         315     9.93241     9.84996     0.13605
         316      9.9191     9.85018     0.13562
         317     9.90727     9.85036    0.135192
         318     9.89409     9.85049    0.134767
         319     9.88169     9.85059    0.134345
         320     9.86868     9.85065    0.133925
         321     9.85646     9.85067    0.133508
         322     9.84364     9.85064    0.133093
         323     9.82881     9.85058    0.132681
         324     9.81762     9.85048    0.132272
         325     9.80514     9.85034    0.131865
         326     9.79138     9.85016     0.13146
         327     9.77847     9.84994    0.131059
         328      9.7664     9.84968    0.130659
         329     9.75379     9.84939    0.130262
         330     9.74344     9.84907    0.129868
         331     9.73185     9.84871    0.129476
         332     9.72044     9.84833    0.129087
         333      9.7092     9.84791      0.1287
         334     9.69956     9.84747    0.128315
         335      9.6894     9.84699    0.127933
         336     9.68015      9.8465    0.127553
         337     9.66898     9.84597    0.127176
         338     9.65872     9.84542    0.126801
         339     9.64938     9.84484    0.126428
         340     9.64026     9.84424    0.126058
         341     9.63066     9.84361     0.12569
         342      9.6227     9.84296    0.125324
         343     9.61426      9.8423     0.12496
         344     9.60607     9.84161    0.124599
         345      9.5974      9.8409     0.12424
