#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.722024   -0.722024           0
           2   -0.720259   -0.721141  0.00062414
           3   -0.721181   -0.721155 0.000416235
           4   -0.720424   -0.720972 0.000349971
           5   -0.720955   -0.720969 0.000279994
           6   -0.719179    -0.72067 0.000358608
           7   -0.720859   -0.720697 0.000308387
           8   -0.720944   -0.720728 0.000271378
           9   -0.721115   -0.720771 0.000244602
          10   -0.721928   -0.720887  0.00024599
          11   -0.720296   -0.720833 0.000229413
          12   -0.719944   -0.720759 0.000221934
          13   -0.722005   -0.720855 0.000224621
          14   -0.720821   -0.720852 0.000208589
          15   -0.719584   -0.720768 0.000211128
          16   -0.719107   -0.720664 0.000221997
          17   -0.723296   -0.720819 0.000257324
          18   -0.720011   -0.720774 0.000246914
          19   -0.720072   -0.720737 0.000236666
          20   -0.720525   -0.720726 0.000225069
          21   -0.720805    -0.72073 0.000214383
          22   -0.721024   -0.720744 0.000205054
          23   -0.720021   -0.720712 0.000198528
          24   -0.719208   -0.720649 0.000199903
          25   -0.720995   -0.720663 0.000192384
          26   -0.720773   -0.720667 0.000185031
          27   -0.720736    -0.72067 0.000178195
          28   -0.720411   -0.720661 0.000172072
          29   -0.719053   -0.720605 0.000174838
          30   -0.719304   -0.720562 0.000174308
          31   -0.719347   -0.720523 0.000173038
          32   -0.720147   -0.720511 0.000168029
          33   -0.721451   -0.720539 0.000165332
          34   -0.721389   -0.720564 0.000162348
          35   -0.721808     -0.7206  0.00016155
          36   -0.719269   -0.720563 0.000161236
          37   -0.721829   -0.720597 0.000160469
          38   -0.720872   -0.720604 0.000156409
          39   -0.717757   -0.720531 0.000168577
          40   -0.720989   -0.720543 0.000164751
          41   -0.719387   -0.720515 0.000163129
          42   -0.719928   -0.720501 0.000159842
          43   -0.721387   -0.720521 0.000157447
          44   -0.720587   -0.720523 0.000153875
          45   -0.720432   -0.720521 0.000150469
          46   -0.720067   -0.720511 0.000147522
          47   -0.720979   -0.720521 0.000144718
          48   -0.718339   -0.720475 0.000148673
          49   -0.721141   -0.720489 0.000146258
          50   -0.719621   -0.720472 0.000144359
