#   N_BLOCK:  ACCEPTANCE:
           1    0.278171
           2    0.278601
           3    0.278917
           4    0.279102
           5    0.279188
           6    0.279591
           7    0.279532
           8    0.279474
           9    0.279406
          10    0.279289
          11     0.27932
          12    0.279364
          13    0.279266
          14    0.279307
          15    0.279355
          16    0.279437
          17    0.279257
          18    0.279288
          19    0.279311
          20    0.279282
          21    0.279308
          22     0.27927
          23    0.279283
          24    0.279333
          25    0.279319
          26    0.279331
          27    0.279342
          28    0.279368
          29    0.279427
          30    0.279454
          31    0.279496
          32    0.279513
          33    0.279486
          34     0.27947
          35     0.27942
          36    0.279427
          37    0.279391
          38    0.279372
          39    0.279423
          40    0.279401
          41    0.279422
          42    0.279439
          43     0.27941
          44    0.279408
          45    0.279411
          46     0.27943
          47    0.279421
          48    0.279445
          49    0.279436
          50    0.279456
