#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.297323    0.297323           0
           2    0.276381    0.286852  0.00740388
           3    0.313749    0.295818  0.00882912
           4    0.312312    0.299941   0.0075234
           5    0.227301    0.285413   0.0143204
           6    0.307448    0.289086   0.0123957
           7    0.250653    0.283595   0.0117782
           8    0.278421    0.282949   0.0103236
           9    0.265853    0.281049  0.00934968
          10    0.260488    0.278993  0.00863784
          11    0.309964    0.281809  0.00829877
          12    0.296093    0.282999  0.00769211
          13    0.302905     0.28453  0.00725122
          14     0.29414    0.285217  0.00676568
          15    0.324777    0.287854  0.00680931
          16     0.26072    0.286158  0.00659153
          17    0.273919    0.285438  0.00624299
          18    0.226788     0.28218  0.00669265
          19    0.276011    0.281855  0.00634828
          20    0.294159     0.28247   0.0060606
          21     0.33428    0.284937  0.00625403
          22    0.297296    0.285499  0.00599493
          23    0.274237     0.28501  0.00575424
          24    0.300023    0.285635  0.00554838
          25    0.284073    0.285573   0.0053268
          26    0.372021    0.288898  0.00607158
          27    0.299272    0.289282  0.00585886
          28    0.279759    0.288942  0.00565948
          29    0.253105    0.287706  0.00559761
          30    0.261299    0.286826  0.00547979
          31    0.287165    0.286837  0.00530304
          32    0.246789    0.285585  0.00528292
          33    0.343656    0.287345  0.00540798
          34    0.273283    0.286931  0.00526471
          35    0.276165    0.286624  0.00512327
          36    0.311657    0.287319  0.00502793
          37    0.319337    0.288184  0.00496595
          38      0.2803    0.287977   0.0048396
          39    0.287904    0.287975   0.0047155
          40    0.302453    0.288337  0.00461149
          41     0.30732      0.2888  0.00452219
          42    0.338684    0.289988  0.00456783
          43    0.288728    0.289958   0.0044617
          44       0.313    0.290482  0.00439092
          45    0.251472    0.289615  0.00437808
          46    0.279065    0.289386  0.00428891
          47    0.293972    0.289483  0.00419877
          48    0.291223     0.28952  0.00411145
          49    0.284749    0.289422  0.00402869
          50    0.281056    0.289255  0.00395159
