#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.074404    0.074404           0
           2   0.0619667   0.0681853  0.00439726
           3   0.0722347   0.0695351  0.00313183
           4    0.074228   0.0707083   0.0025592
           5   0.0636307   0.0692928  0.00240722
           6   0.0755813   0.0703409   0.0022225
           7   0.0711453   0.0704558  0.00190797
           8   0.0618053   0.0693745  0.00195198
           9    0.072564   0.0697289  0.00176697
          10   0.0780973   0.0705657  0.00177742
          11   0.0692613   0.0704472  0.00161979
          12    0.065192   0.0700092  0.00154287
          13     0.07514   0.0704039  0.00147381
          14    0.054616   0.0692762   0.0017475
          15   0.0616667   0.0687689  0.00170305
          16    0.063868   0.0684626  0.00162392
          17   0.0710293   0.0686136   0.0015354
          18    0.064852   0.0684046  0.00146425
          19   0.0747453   0.0687383  0.00142471
          20   0.0512907   0.0678659   0.0015984
          21   0.0625733   0.0676139  0.00154203
          22   0.0730413   0.0678606  0.00149154
          23    0.076732   0.0682463  0.00147572
          24   0.0822427   0.0688295  0.00152512
          25   0.0766973   0.0691442  0.00149623
          26    0.068452   0.0691176  0.00143892
          27    0.073796   0.0692909  0.00139602
          28    0.072912   0.0694202  0.00135214
          29    0.071372   0.0694875  0.00130719
          30    0.071876   0.0695671  0.00126604
          31     0.06744   0.0694985  0.00122706
          32   0.0635507   0.0693126  0.00120271
          33   0.0774053   0.0695579    0.001191
          34   0.0683907   0.0695235  0.00115646
          35   0.0653853   0.0694053  0.00112945
          36    0.087292   0.0699021  0.00120241
          37   0.0738467   0.0700088  0.00117462
          38    0.076988   0.0701924  0.00115798
          39    0.059068   0.0699072  0.00116289
          40    0.081372   0.0701938  0.00116861
          41   0.0623413   0.0700023  0.00115569
          42    0.082048   0.0702891  0.00116322
          43   0.0942027   0.0708452  0.00126213
          44   0.0751373   0.0709428  0.00123721
          45    0.072108   0.0709687  0.00120998
          46      0.0659   0.0708585  0.00118869
          47    0.078336   0.0710176  0.00117399
          48   0.0700053   0.0709965  0.00114973
          49   0.0712667    0.071002  0.00112627
          50    0.066656   0.0709151   0.0011071
