#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.56629     3.56629           0
           2     3.54571       3.556  0.00727849
           3     3.46458     3.52553     0.02535
           4      3.5608     3.53434   0.0204888
           5     3.51658     3.53079   0.0166963
           6     3.63198     3.54766   0.0207508
           7     3.61872     3.55781   0.0201168
           8     3.46143     3.54576   0.0209006
           9     3.64217     3.55647    0.021146
          10      3.5288      3.5537   0.0192116
          11     3.51254     3.54996   0.0178259
          12     3.56238       3.551   0.0163704
          13      3.5278     3.54921   0.0152081
          14     3.55947     3.54994   0.0141394
          15     3.59537     3.55297   0.0135173
          16     3.52842     3.55144   0.0127592
          17     3.56331     3.55214   0.0120278
          18     3.58798     3.55413   0.0115232
          19       3.644     3.55886   0.0118479
          20     3.67665     3.56475   0.0126348
          21     3.57723     3.56534   0.0120471
          22     3.50286      3.5625   0.0118296
          23     3.60246     3.56424   0.0114421
          24     3.55176     3.56372   0.0109771
          25      3.6234     3.56611   0.0107945
          26     3.59656     3.56728   0.0104427
          27     3.61031     3.56887   0.0101768
          28     3.61697     3.57059   0.0099573
          29     3.39461     3.56452    0.011313
          30     3.68943     3.56868   0.0116769
          31     3.53684     3.56766   0.0113454
          32     3.55591     3.56729   0.0109967
          33     3.59254     3.56806   0.0106901
          34      3.6012     3.56903     0.01042
          35     3.53765     3.56813   0.0101608
          36     3.52227     3.56686  0.00995815
          37     3.48871     3.56475  0.00991045
          38     3.55832     3.56458   0.0096511
          39     3.74215     3.56913   0.0104225
          40      3.6889     3.57213   0.0105833
          41     3.70375     3.57534   0.0108011
          42      3.5535     3.57482   0.0105564
          43     3.51309     3.57338    0.010408
          44     3.56856     3.57327   0.0101721
          45     3.48599     3.57133   0.0101293
          46     3.53751      3.5706  0.00993572
          47     3.50208     3.56914   0.0098307
          48     3.50239     3.56775  0.00972376
          49     3.63497     3.56912  0.00962159
          50     3.56699     3.56908  0.00942925
