#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.344038    0.344038           0
           2    0.343259    0.343648 0.000275451
           3    0.343423    0.343573 0.000193631
           4    0.343552    0.343568 0.000145297
           5    0.342995    0.343453 0.000154965
           6    0.348515    0.344297 0.000780875
           7    0.346971    0.344679 0.000757001
           8    0.343031    0.344473 0.000689822
           9     0.34489    0.344519 0.000614728
          10    0.343237    0.344391 0.000566466
          11    0.335751    0.343606 0.000908847
          12    0.342084    0.343479 0.000841906
          13    0.346941    0.343745 0.000818193
          14    0.346197     0.34392 0.000778268
          15    0.346024     0.34406 0.000738907
          16    0.354823    0.344733 0.000950826
          17    0.347871    0.344918 0.000912633
          18    0.339112    0.344595 0.000917151
          19    0.351731    0.344971 0.000942639
          20    0.347907    0.345118 0.000906867
          21    0.344931    0.345109 0.000863727
          22    0.343697    0.345044 0.000826848
          23    0.343497    0.344977 0.000793629
          24    0.352843    0.345305 0.000825468
          25    0.340593    0.345116 0.000813685
          26     0.34961    0.345289 0.000800529
          27    0.350257    0.345473  0.00079174
          28    0.345907    0.345489 0.000763615
          29    0.340615    0.345321 0.000755554
          30    0.342108    0.345214 0.000737919
          31    0.344366    0.345186 0.000714621
          32    0.343799    0.345143 0.000693602
          33    0.354956     0.34544 0.000733562
          34    0.344538    0.345414 0.000712467
          35    0.342218    0.345322 0.000697938
          36     0.34195    0.345229 0.000684808
          37    0.345369    0.345233 0.000666311
          38     0.34475     0.34522 0.000648897
          39    0.346159    0.345244 0.000632706
          40    0.348982    0.345337  0.00062375
          41    0.353333    0.345532 0.000638298
          42    0.341644     0.34544  0.00062978
          43    0.347549    0.345489 0.000617041
          44    0.344887    0.345475  0.00060317
          45    0.342538     0.34541 0.000593288
          46    0.343405    0.345366  0.00058199
          47    0.344816    0.345355 0.000569725
          48    0.345892    0.345366 0.000557965
          49     0.34817    0.345423 0.000549506
          50    0.338475    0.345284 0.000555807
