#   N_BLOCK:  ACCEPTANCE:
           1    0.352436
           2    0.353253
           3    0.353444
           4    0.353589
           5    0.353509
           6    0.353753
           7      0.3535
           8    0.353513
           9    0.353521
          10    0.353577
          11    0.353746
          12    0.353544
          13    0.353522
          14    0.353475
          15    0.353516
          16    0.353517
          17    0.353392
          18     0.35347
          19     0.35338
          20     0.35333
          21      0.3533
          22    0.353333
          23      0.3533
          24     0.35329
          25     0.35331
          26     0.35332
          27    0.353337
          28    0.353373
          29    0.353421
          30    0.353436
          31     0.35343
          32    0.353434
          33    0.353385
          34    0.353368
          35    0.353346
          36    0.353372
          37    0.353414
          38    0.353405
          39    0.353437
          40    0.353446
          41    0.353435
          42    0.353438
          43    0.353467
          44    0.353478
          45    0.353492
          46    0.353475
          47    0.353484
          48    0.353491
          49    0.353475
          50    0.353496
