#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.647088   -0.647088           0
           2   -0.645163   -0.646125 0.000680708
           3    -0.64708   -0.646444 0.000522924
           4    -0.64624   -0.646393 0.000394661
           5     -0.6476   -0.646634 0.000382531
           6   -0.645584   -0.646459 0.000356574
           7   -0.647373    -0.64659 0.000328684
           8   -0.646248   -0.646547 0.000290361
           9   -0.646067   -0.646494 0.000262958
          10   -0.646237   -0.646468 0.000237908
          11   -0.645315   -0.646363 0.000238266
          12   -0.648224   -0.646518 0.000264095
          13   -0.645869   -0.646468 0.000248452
          14   -0.646965   -0.646504 0.000233228
          15   -0.645859   -0.646461  0.00022161
          16   -0.646576   -0.646468 0.000207876
          17   -0.648056   -0.646561 0.000215617
          18   -0.645579   -0.646507 0.000210437
          19   -0.647165   -0.646541 0.000202196
          20   -0.647397   -0.646584 0.000196562
          21   -0.647784   -0.646641 0.000195328
          22   -0.645611   -0.646595 0.000191986
          23   -0.647261   -0.646624 0.000185815
          24    -0.64644   -0.646616  0.00017823
          25   -0.645867   -0.646586 0.000173602
          26   -0.647016   -0.646602 0.000167711
          27   -0.646336   -0.646593  0.00016179
          28   -0.645453   -0.646552 0.000161046
          29   -0.646125   -0.646537 0.000156163
          30   -0.645792   -0.646512 0.000152921
          31   -0.646749    -0.64652 0.000148179
          32   -0.646355   -0.646515 0.000143638
          33   -0.647752   -0.646552 0.000144095
          34   -0.647869   -0.646591  0.00014497
          35   -0.647243    -0.64661 0.000142018
          36   -0.645509   -0.646579 0.000141324
          37   -0.644587   -0.646525 0.000147407
          38   -0.647627   -0.646554  0.00014635
          39   -0.644741   -0.646508 0.000149798
          40   -0.646061   -0.646497 0.000146468
          41   -0.646445   -0.646495 0.000142901
          42   -0.646925   -0.646506 0.000139865
          43   -0.644781   -0.646465 0.000142245
          44   -0.646384   -0.646464 0.000139024
          45   -0.646387   -0.646462 0.000135945
          46   -0.647531   -0.646485  0.00013496
          47   -0.646165   -0.646478  0.00013226
          48   -0.645536   -0.646459 0.000130954
          49   -0.647107   -0.646472 0.000128947
          50   -0.645283   -0.646448 0.000128543
