#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.217708    0.217708           0
           2    0.213751    0.215729  0.00139892
           3    0.208786    0.213415  0.00210727
           4    0.213131    0.213344  0.00158165
           5    0.211315    0.212938  0.00131631
           6    0.215365    0.213343   0.0011574
           7    0.214605    0.213523  0.00100602
           8    0.211538    0.213275  0.00091036
           9    0.211098    0.213033 0.000840727
          10    0.212655    0.212995 0.000757505
          11    0.213314    0.213024 0.000689194
          12    0.214143    0.213117 0.000638038
          13    0.213115    0.213117 0.000588958
          14    0.211279    0.212986 0.000561336
          15      0.2136    0.213027 0.000525407
          16    0.211898    0.212956 0.000497283
          17    0.210442    0.212808 0.000489536
          18    0.213178    0.212829  0.00046277
          19    0.210293    0.212695 0.000457261
          20    0.212529    0.212687 0.000434474
          21    0.211987    0.212654  0.00041506
          22    0.210161     0.21254 0.000411367
          23    0.210304    0.212443 0.000404806
          24    0.210482    0.212361 0.000396099
          25    0.209201    0.212235 0.000399924
          26    0.211497    0.212207 0.000385548
          27    0.212942    0.212234 0.000372229
          28    0.216606     0.21239 0.000390313
          29     0.21383     0.21244 0.000380001
          30    0.209686    0.212348  0.00037826
          31    0.210142    0.212277 0.000372692
          32    0.211894    0.212265 0.000361237
          33    0.213735    0.212309 0.000353028
          34     0.21137    0.212282 0.000343725
          35    0.214304    0.212339 0.000338724
          36    0.214061    0.212387 0.000332672
          37    0.213659    0.212422 0.000325451
          38    0.208801    0.212326 0.000330541
          39     0.21417    0.212374 0.000325427
          40    0.208797    0.212284 0.000329343
          41    0.211339    0.212261 0.000322117
          42    0.210199    0.212212 0.000318165
          43    0.213251    0.212236 0.000311682
          44    0.212172    0.212235 0.000304602
          45    0.211965    0.212229 0.000297892
          46    0.213695    0.212261 0.000293117
          47    0.213546    0.212288 0.000288153
          48    0.213218    0.212307 0.000282799
          49    0.210939    0.212279 0.000278403
          50    0.211585    0.212266 0.000273181
