#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.50473     1.50473           0
           2     1.49717     1.50095   0.0026741
           3     1.45213     1.48468   0.0134051
           4     1.48859     1.48566   0.0100895
           5     1.51666     1.49186  0.00979379
           6     1.50107     1.49339  0.00828088
           7     1.48634     1.49238  0.00715898
           8     1.50546     1.49402  0.00644809
           9     1.48223     1.49271  0.00586315
          10     1.49053     1.49249  0.00528088
          11     1.50268     1.49342  0.00488132
          12     1.51338     1.49508  0.00474954
          13     1.50518     1.49586  0.00444725
          14     1.47973     1.49471  0.00427626
          15     1.54883     1.49831  0.00529932
          16     1.50038     1.49844  0.00496969
          17     1.50989     1.49912  0.00472278
          18     1.54819     1.50184  0.00518783
          19     1.52552     1.50309  0.00506229
          20     1.51429     1.50365  0.00484005
          21     1.48814     1.50291  0.00466556
          22     1.50788     1.50314  0.00445895
          23     1.53999     1.50474  0.00454385
          24     1.55494     1.50683  0.00481197
          25     1.47668     1.50562  0.00476823
          26     1.50168     1.50547  0.00458724
          27     1.54694     1.50701  0.00466737
          28     1.50073     1.50678  0.00450606
          29     1.50309     1.50666  0.00435247
          30     1.53125     1.50748   0.0042839
          31      1.5402     1.50853  0.00427381
          32     1.52847     1.50916  0.00418544
          33      1.5214     1.50953  0.00407503
          34      1.5579     1.51095  0.00419616
          35     1.48294     1.51015  0.00415188
          36     1.53996     1.51098  0.00411831
          37     1.50872     1.51092  0.00400745
          38     1.49751     1.51056  0.00391749
          39     1.49349     1.51013  0.00384142
          40     1.46737     1.50906  0.00389124
          41     1.54354      1.5099  0.00388617
          42     1.51347     1.50998  0.00379457
          43     1.58243     1.51167  0.00406314
          44     1.51554     1.51176  0.00397175
          45     1.50801     1.51167  0.00388436
          46     1.50534     1.51154  0.00380236
          47     1.51662     1.51164    0.003723
          48     1.52487     1.51192  0.00365563
          49      1.5237     1.51216  0.00358892
          50     1.47996     1.51152  0.00357446
