#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         140   0.0442906   0.0443104  7.3353e-07
         141   0.0442899   0.0443103 7.42538e-07
         142   0.0442895   0.0443101 7.51513e-07
         143   0.0442891     0.04431 7.60458e-07
         144   0.0442887   0.0443098 7.69375e-07
         145   0.0442883   0.0443097 7.78267e-07
         146   0.0442879   0.0443095 7.87137e-07
         147   0.0442874   0.0443094 7.95987e-07
         148    0.044287   0.0443092 8.04818e-07
         149   0.0442866   0.0443091 8.13633e-07
         150   0.0442861   0.0443089 8.22434e-07
         151   0.0442857   0.0443088 8.31222e-07
         152   0.0442853   0.0443086     8.4e-07
         153   0.0442846   0.0443084 8.49051e-07
         154   0.0442841   0.0443083 8.58084e-07
         155   0.0442837   0.0443081   8.671e-07
         156    0.044283    0.044308 8.76377e-07
         157   0.0442823   0.0443078 8.85906e-07
         158   0.0442818   0.0443076 8.95402e-07
         159   0.0442811   0.0443075  9.0514e-07
         160   0.0442807   0.0443073 9.14839e-07
         161   0.0442802   0.0443071 9.24502e-07
         162   0.0442797    0.044307 9.34132e-07
         163   0.0442793   0.0443068 9.43731e-07
         164   0.0442786   0.0443066 9.53561e-07
         165   0.0442781   0.0443065 9.63354e-07
         166   0.0442774   0.0443063 9.73369e-07
         167   0.0442766   0.0443061 9.83597e-07
         168   0.0442761   0.0443059 9.93778e-07
         169   0.0442756   0.0443057 1.00391e-06
         170   0.0442752   0.0443056 1.01401e-06
         171   0.0442747   0.0443054 1.02407e-06
         172   0.0442741   0.0443052 1.03409e-06
         173   0.0442736    0.044305 1.04407e-06
         174   0.0442731   0.0443048 1.05403e-06
         175   0.0442726   0.0443047 1.06395e-06
         176   0.0442721   0.0443045 1.07385e-06
         177   0.0442716   0.0443043 1.08372e-06
         178   0.0442708   0.0443041  1.0938e-06
         179   0.0442703   0.0443039 1.10385e-06
         180   0.0442698   0.0443037 1.11387e-06
         181    0.044269   0.0443035 1.12409e-06
         182    0.044268   0.0443033 1.13472e-06
         183   0.0442672   0.0443031 1.14553e-06
         184   0.0442667   0.0443029 1.15629e-06
         185   0.0442659   0.0443027 1.16722e-06
         186   0.0442654   0.0443025  1.1781e-06
         187   0.0442648   0.0443023 1.18893e-06
         188   0.0442643   0.0443021 1.19972e-06
         189   0.0442637   0.0443019 1.21047e-06
         190   0.0442627   0.0443017 1.22159e-06
         191   0.0442619   0.0443015 1.23287e-06
         192   0.0442611   0.0443013  1.2443e-06
         193   0.0442603   0.0443011 1.25588e-06
         194   0.0442597   0.0443009 1.26739e-06
         195   0.0442589   0.0443007 1.27905e-06
         196   0.0442583   0.0443004 1.29064e-06
         197   0.0442577   0.0443002 1.30217e-06
         198   0.0442571      0.0443 1.31365e-06
         199   0.0442563   0.0442998 1.32526e-06
         200   0.0442557   0.0442996 1.33682e-06
         201   0.0442549   0.0442993 1.34852e-06
         202   0.0442543   0.0442991 1.36016e-06
         203   0.0442537   0.0442989 1.37174e-06
