#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         133    0.950252    0.950084 6.54974e-06
         134    0.950255    0.950085 6.62444e-06
         135    0.950259    0.950087 6.69943e-06
         136    0.950263    0.950088 6.77474e-06
         137    0.950267    0.950089 6.85035e-06
         138    0.950271    0.950091 6.92626e-06
         139    0.950275    0.950092 7.00247e-06
         140    0.950279    0.950093 7.07899e-06
         141    0.950283    0.950095  7.1558e-06
         142    0.950287    0.950096 7.23292e-06
         143    0.950291    0.950097 7.31035e-06
         144    0.950296    0.950099 7.38808e-06
         145      0.9503      0.9501  7.4661e-06
         146    0.950304    0.950101 7.54443e-06
         147    0.950308    0.950103 7.62305e-06
         148    0.950312    0.950104 7.70197e-06
         149    0.950317    0.950106 7.78118e-06
         150    0.950321    0.950107 7.86069e-06
         151    0.950325    0.950109 7.94049e-06
         152     0.95033     0.95011 8.02057e-06
         153    0.950334    0.950112 8.10095e-06
         154    0.950339    0.950113 8.18161e-06
         155    0.950343    0.950115 8.26257e-06
         156    0.950348    0.950116 8.34381e-06
         157    0.950352    0.950118 8.42535e-06
         158    0.950357    0.950119 8.50718e-06
         159    0.950362    0.950121  8.5893e-06
         160    0.950366    0.950122 8.67171e-06
         161    0.950371    0.950124 8.75441e-06
         162    0.950376    0.950125 8.83741e-06
         163     0.95038    0.950127  8.9207e-06
         164    0.950385    0.950128 9.00428e-06
         165     0.95039     0.95013 9.08814e-06
         166    0.950395    0.950131  9.1723e-06
         167      0.9504    0.950133 9.25674e-06
         168    0.950404    0.950135 9.34148e-06
         169    0.950409    0.950136 9.42651e-06
         170    0.950414    0.950138 9.51183e-06
         171    0.950419     0.95014 9.59743e-06
         172    0.950424    0.950141 9.68333e-06
         173    0.950429    0.950143 9.76951e-06
         174    0.950434    0.950145 9.85597e-06
         175     0.95044    0.950146 9.94272e-06
         176    0.950445    0.950148 1.00298e-05
         177     0.95045     0.95015 1.01171e-05
         178    0.950455    0.950151 1.02047e-05
         179     0.95046    0.950153 1.02925e-05
         180    0.950466    0.950155 1.03807e-05
         181    0.950471    0.950157 1.04691e-05
         182    0.950476    0.950158 1.05578e-05
         183    0.950482     0.95016 1.06468e-05
         184    0.950487    0.950162 1.07361e-05
         185    0.950492    0.950164 1.08257e-05
         186    0.950498    0.950166 1.09155e-05
         187    0.950503    0.950167 1.10056e-05
         188    0.950509    0.950169 1.10961e-05
         189    0.950514    0.950171 1.11868e-05
         190     0.95052    0.950173 1.12777e-05
         191    0.950526    0.950175  1.1369e-05
         192    0.950531    0.950177 1.14606e-05
         193    0.950537    0.950178 1.15524e-05
         194    0.950543     0.95018 1.16445e-05
         195    0.950548    0.950182 1.17369e-05
         196    0.950554    0.950184 1.18296e-05
         197     0.95056    0.950186 1.19226e-05
         198    0.950566    0.950188 1.20159e-05
         199    0.950572     0.95019 1.21094e-05
         200    0.950578    0.950192 1.22032e-05
         201    0.950584    0.950194 1.22973e-05
         202     0.95059    0.950196 1.23917e-05
         203    0.950596    0.950198 1.24864e-05
         204    0.950602      0.9502 1.25814e-05
         205    0.950608    0.950202 1.26766e-05
         206    0.950614    0.950204 1.27721e-05
         207     0.95062    0.950206 1.28679e-05
         208    0.950626    0.950208  1.2964e-05
         209    0.950632     0.95021 1.30604e-05
         210    0.950639    0.950212  1.3157e-05
         211    0.950645    0.950214 1.32539e-05
         212    0.950651    0.950216 1.33511e-05
         213    0.950658    0.950218 1.34486e-05
         214    0.950664     0.95022 1.35464e-05
