#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         128   -0.032199  -0.0319571 9.46948e-06
         129  -0.0322046   -0.031959 9.58847e-06
         130  -0.0322102   -0.031961  9.7075e-06
         131  -0.0322159  -0.0319629 9.82658e-06
         132  -0.0322217  -0.0319649 9.94574e-06
         133  -0.0322274  -0.0319668  1.0065e-05
         134  -0.0322356  -0.0319688 1.01878e-05
         135  -0.0322415  -0.0319709 1.03105e-05
         136  -0.0322474  -0.0319729 1.04333e-05
         137  -0.0322533  -0.0319749 1.05561e-05
         138  -0.0322617   -0.031977 1.06822e-05
         139  -0.0322678  -0.0319791 1.08082e-05
         140  -0.0322739  -0.0319812 1.09341e-05
         141  -0.0322824  -0.0319833 1.10632e-05
         142  -0.0322886  -0.0319855 1.11921e-05
         143  -0.0322948  -0.0319877 1.13209e-05
         144  -0.0323011  -0.0319898 1.14496e-05
         145  -0.0323074   -0.031992 1.15782e-05
         146  -0.0323138  -0.0319942 1.17067e-05
         147  -0.0323202  -0.0319964 1.18352e-05
         148  -0.0323266  -0.0319987 1.19636e-05
         149  -0.0323331  -0.0320009 1.20921e-05
         150  -0.0323397  -0.0320032 1.22205e-05
         151  -0.0323463  -0.0320055  1.2349e-05
         152  -0.0323529  -0.0320077 1.24775e-05
         153   -0.032362  -0.0320101 1.26089e-05
         154  -0.0323687  -0.0320124 1.27403e-05
         155  -0.0323755  -0.0320147 1.28716e-05
         156  -0.0323846  -0.0320171 1.30057e-05
         157  -0.0323939  -0.0320195 1.31424e-05
         158  -0.0324008  -0.0320219  1.3279e-05
         159  -0.0324101  -0.0320244 1.34181e-05
         160  -0.0324172  -0.0320268  1.3557e-05
         161  -0.0324242  -0.0320293 1.36956e-05
         162  -0.0324313  -0.0320318 1.38341e-05
         163  -0.0324385  -0.0320343 1.39725e-05
         164   -0.032448  -0.0320368 1.41133e-05
         165  -0.0324553  -0.0320393 1.42538e-05
         166   -0.032465  -0.0320419 1.43967e-05
         167  -0.0324747  -0.0320445 1.45419e-05
         168  -0.0324821  -0.0320471 1.46868e-05
         169  -0.0324895  -0.0320497 1.48314e-05
         170   -0.032497  -0.0320523 1.49757e-05
         171  -0.0325045   -0.032055 1.51198e-05
         172  -0.0325121  -0.0320576 1.52637e-05
         173  -0.0325197  -0.0320603 1.54074e-05
         174  -0.0325274   -0.032063 1.55509e-05
         175  -0.0325351  -0.0320657 1.56943e-05
         176  -0.0325428  -0.0320684 1.58376e-05
         177  -0.0325506  -0.0320711 1.59808e-05
         178  -0.0325609  -0.0320739 1.61261e-05
         179  -0.0325688  -0.0320766 1.62713e-05
         180  -0.0325767  -0.0320794 1.64164e-05
         181  -0.0325871  -0.0320822 1.65636e-05
         182  -0.0325999  -0.0320851  1.6715e-05
         183  -0.0326103  -0.0320879 1.68683e-05
         184  -0.0326185  -0.0320908 1.70213e-05
         185   -0.032629  -0.0320937 1.71761e-05
         186  -0.0326373  -0.0320966 1.73306e-05
         187  -0.0326456  -0.0320996 1.74848e-05
         188  -0.0326539  -0.0321025 1.76386e-05
         189  -0.0326623  -0.0321055 1.77922e-05
         190  -0.0326755  -0.0321085 1.79497e-05
         191  -0.0326863  -0.0321115 1.81089e-05
         192  -0.0326972  -0.0321146 1.82697e-05
         193  -0.0327082  -0.0321176 1.84321e-05
         194  -0.0327168  -0.0321207 1.85941e-05
         195  -0.0327279  -0.0321238 1.87576e-05
         196  -0.0327366   -0.032127 1.89206e-05
         197  -0.0327454  -0.0321301 1.90832e-05
         198  -0.0327542  -0.0321333 1.92454e-05
