#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         154     1.42551     1.42517 1.22724e-05
         155     1.42551     1.42517 1.23939e-05
         156     1.42552     1.42517 1.25157e-05
         157     1.42553     1.42518  1.2638e-05
         158     1.42554     1.42518 1.27608e-05
         159     1.42554     1.42518 1.28839e-05
         160     1.42555     1.42518 1.30076e-05
         161     1.42556     1.42519 1.31316e-05
         162     1.42556     1.42519 1.32561e-05
         163     1.42557     1.42519  1.3381e-05
         164     1.42558     1.42519 1.35064e-05
         165     1.42558     1.42519 1.36322e-05
         166     1.42559      1.4252 1.37584e-05
         167      1.4256      1.4252 1.38851e-05
         168     1.42561      1.4252 1.40122e-05
         169     1.42561      1.4252 1.41398e-05
         170     1.42562     1.42521 1.42677e-05
         171     1.42563     1.42521 1.43962e-05
         172     1.42564     1.42521  1.4525e-05
         173     1.42564     1.42521 1.46543e-05
         174     1.42565     1.42522  1.4784e-05
         175     1.42566     1.42522 1.49141e-05
         176     1.42567     1.42522 1.50446e-05
         177     1.42567     1.42522 1.51756e-05
         178     1.42568     1.42523  1.5307e-05
         179     1.42569     1.42523 1.54388e-05
         180      1.4257     1.42523  1.5571e-05
         181     1.42571     1.42523 1.57037e-05
         182     1.42571     1.42524 1.58367e-05
         183     1.42572     1.42524 1.59702e-05
         184     1.42573     1.42524 1.61042e-05
         185     1.42574     1.42525 1.62385e-05
         186     1.42575     1.42525 1.63733e-05
         187     1.42576     1.42525 1.65085e-05
         188     1.42576     1.42525 1.66441e-05
         189     1.42577     1.42526 1.67802e-05
         190     1.42578     1.42526 1.69166e-05
         191     1.42579     1.42526 1.70535e-05
         192      1.4258     1.42526 1.71908e-05
         193     1.42581     1.42527 1.73286e-05
         194     1.42581     1.42527 1.74668e-05
         195     1.42582     1.42527 1.76054e-05
         196     1.42583     1.42528 1.77444e-05
         197     1.42584     1.42528 1.78839e-05
         198     1.42585     1.42528 1.80238e-05
         199     1.42586     1.42528 1.81641e-05
         200     1.42587     1.42529 1.83049e-05
         201     1.42588     1.42529  1.8446e-05
         202     1.42588     1.42529 1.85876e-05
         203     1.42589      1.4253 1.87296e-05
         204      1.4259      1.4253 1.88721e-05
         205     1.42591      1.4253 1.90149e-05
         206     1.42592     1.42531 1.91582e-05
         207     1.42593     1.42531 1.93019e-05
         208     1.42594     1.42531  1.9446e-05
         209     1.42595     1.42531 1.95906e-05
         210     1.42596     1.42532 1.97355e-05
         211     1.42597     1.42532 1.98809e-05
         212     1.42598     1.42532 2.00267e-05
         213     1.42599     1.42533 2.01729e-05
         214       1.426     1.42533 2.03195e-05
         215     1.42601     1.42533 2.04666e-05
         216     1.42602     1.42534  2.0614e-05
         217     1.42602     1.42534 2.07619e-05
         218     1.42603     1.42534 2.09102e-05
         219     1.42604     1.42535 2.10589e-05
         220     1.42605     1.42535 2.12081e-05
         221     1.42606     1.42535 2.13576e-05
         222     1.42607     1.42536 2.15076e-05
         223     1.42608     1.42536  2.1658e-05
         224     1.42609     1.42536 2.18088e-05
         225      1.4261     1.42537   2.196e-05
         226     1.42611     1.42537 2.21116e-05
