#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.17278     2.17278           0
           2     2.15556     2.16417  0.00608701
           3     2.16218     2.16351  0.00409393
           4      2.2122     2.17568   0.0109807
           5     2.21927      2.1844   0.0117456
           6      2.1802      2.1837  0.00980888
           7     2.17578     2.18257  0.00847254
           8     2.17519     2.18165  0.00746346
           9     2.11422     2.17415  0.00969026
          10     2.15414     2.17215  0.00892547
          11     2.12979      2.1683  0.00890627
          12     2.19141     2.17023  0.00836964
          13     2.09358     2.16433  0.00957988
          14      2.1747     2.16507  0.00892419
          15      2.2279     2.16926  0.00926023
          16     2.15659     2.16847  0.00871524
          17     2.19609     2.17009  0.00835263
          18      2.2336     2.17362  0.00860161
          19     2.22127     2.17613  0.00850667
          20     2.10746      2.1727  0.00874697
          21      2.1488     2.17156  0.00840417
          22     2.13787     2.17003  0.00816051
          23     2.23322     2.17277  0.00825523
          24     2.23506     2.17537  0.00830912
          25     2.16845     2.17509  0.00798137
          26     2.15157     2.17419  0.00772549
          27     2.22264     2.17598  0.00764492
          28     2.17815     2.17606  0.00737228
          29     2.22039     2.17759  0.00727479
          30     2.24114     2.17971   0.0073342
          31     2.19349     2.18015  0.00711107
          32     2.20709     2.18099   0.0069385
          33     2.24141     2.18282  0.00696561
          34     2.23563     2.18438   0.0069317
          35     2.12494     2.18268  0.00693854
          36     2.26067     2.18485   0.0070759
          37     2.20537      2.1854  0.00690637
          38     2.17637     2.18516  0.00672871
          39     2.11046     2.18325  0.00682335
          40     2.18742     2.18335  0.00665356
          41     2.21611     2.18415  0.00653907
          42     2.12734      2.1828  0.00652177
          43     2.25301     2.18443  0.00657131
          44     2.16112      2.1839  0.00644328
          45     2.21233     2.18453  0.00633099
          46     2.13541     2.18346  0.00628278
          47     2.18604     2.18352  0.00614934
          48     2.23247     2.18454  0.00610521
          49     2.17889     2.18442   0.0059817
          50     2.13626     2.18346  0.00593911
