#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04332     0.04332           0
           2    0.051868    0.047594  0.00302217
           3    0.042896    0.046028  0.00238626
           4   0.0395293   0.0444033  0.00227655
           5    0.048752   0.0452731  0.00198042
           6   0.0473493   0.0456191  0.00168031
           7   0.0354493   0.0441663  0.00197067
           8   0.0408533   0.0437522  0.00176731
           9    0.049908   0.0444361  0.00169815
          10     0.04048   0.0440405  0.00157374
          11   0.0499853    0.044581  0.00152064
          12   0.0472267   0.0448014  0.00140981
          13     0.04572   0.0448721  0.00130314
          14   0.0294267   0.0437689  0.00161073
          15   0.0377973   0.0433708  0.00155176
          16    0.048688   0.0437031  0.00148994
          17   0.0366373   0.0432875  0.00145912
          18    0.046188   0.0434486  0.00138692
          19   0.0373933   0.0431299  0.00135005
          20    0.042732     0.04311  0.00128269
          21   0.0342507   0.0426881  0.00128912
          22   0.0431333   0.0427084  0.00123068
          23   0.0379653   0.0425021  0.00119433
          24    0.047816   0.0427236  0.00116491
          25   0.0353733   0.0424295  0.00115482
          26   0.0424493   0.0424303   0.0011104
          27    0.046624   0.0425856  0.00108008
          28    0.041804   0.0425577  0.00104187
          29   0.0508667   0.0428442   0.0010446
          30    0.060364   0.0434282  0.00116161
          31   0.0494867   0.0436237  0.00114046
          32   0.0569387   0.0440398  0.00117828
          33    0.045788   0.0440927  0.00114377
          34   0.0428107    0.044055  0.00111075
          35   0.0429907   0.0440246  0.00107943
          36    0.045156    0.044056   0.0010499
          37   0.0372293   0.0438715  0.00103761
          38   0.0412347   0.0438021  0.00101262
          39   0.0455147   0.0438461  0.00098761
          40   0.0393533   0.0437337 0.000969285
          41    0.039936   0.0436411  0.00095006
          42   0.0456773   0.0436896 0.000928676
          43   0.0407453   0.0436211 0.000909599
          44    0.038508   0.0435049 0.000896319
          45   0.0445373   0.0435279 0.000876694
          46   0.0395373   0.0434411 0.000861917
          47   0.0272973   0.0430976 0.000909448
          48   0.0399507   0.0430321 0.000892861
          49   0.0428187   0.0430277  0.00087465
          50      0.0434   0.0430351 0.000857189
