#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.274163    0.274163           0
           2    0.272679    0.273421 0.000524665
           3    0.269103    0.271982  0.00122619
           4    0.267315    0.270815  0.00136634
           5    0.269308    0.270514  0.00112584
           6    0.276965    0.271589  0.00135781
           7     0.27105    0.271512  0.00116602
           8    0.269718    0.271288  0.00104161
           9    0.271055    0.271262 0.000926192
          10    0.267552    0.270891 0.000904827
          11    0.268334    0.270658 0.000851908
          12    0.268283     0.27046 0.000803579
          13    0.268634     0.27032  0.00075395
          14    0.272285     0.27046 0.000713049
          15    0.269994    0.270429  0.00066619
          16    0.268809    0.270328 0.000632207
          17    0.271174    0.270378 0.000596974
          18    0.274078    0.270583 0.000598166
          19    0.266842    0.270386 0.000598223
          20    0.270951    0.270415 0.000568978
          21    0.268146    0.270307 0.000552045
          22     0.26694    0.270153 0.000547753
          23    0.269502    0.270125  0.00052467
          24    0.267572    0.270019 0.000513481
          25    0.270572    0.270041 0.000493419
          26    0.269495     0.27002 0.000474888
          27    0.270086    0.270022 0.000457306
          28    0.275518    0.270219 0.000481259
          29      0.2707    0.270235  0.00046495
          30    0.267399    0.270141 0.000458962
          31    0.267773    0.270064 0.000450467
          32    0.267659    0.269989 0.000442618
          33    0.272544    0.270067 0.000435922
          34    0.272082    0.270126 0.000427111
          35    0.274991    0.270265 0.000436946
          36    0.274172    0.270373 0.000438078
          37     0.27407    0.270473 0.000437482
          38    0.266414    0.270366 0.000438815
          39    0.270411    0.270368 0.000427565
          40    0.269792    0.270353 0.000417118
          41    0.272097    0.270396 0.000409106
          42    0.268333    0.270347 0.000402303
          43    0.267128    0.270272 0.000399848
          44    0.273632    0.270348 0.000397986
          45    0.270518    0.270352 0.000389159
          46    0.273323    0.270416 0.000386023
          47    0.273306    0.270478 0.000382672
          48    0.272689    0.270524 0.000377462
          49    0.269342      0.2705 0.000370528
          50    0.264158    0.270373 0.000384213
