#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.762627   -0.762627           0
           2   -0.759768   -0.761197  0.00101069
           3   -0.763755    -0.76205 0.000968731
           4   -0.760733   -0.761721 0.000780454
           5   -0.761819    -0.76174 0.000624609
           6   -0.759973   -0.761446 0.000585831
           7   -0.761208   -0.761412 0.000503125
           8   -0.764184   -0.761758 0.000546694
           9   -0.762723   -0.761865  0.00049634
          10   -0.761301   -0.761809   0.0004499
          11   -0.762653   -0.761886 0.000415496
          12   -0.760635   -0.761782 0.000393735
          13   -0.761653   -0.761772 0.000363572
          14   -0.761341   -0.761741 0.000338899
          15   -0.763613   -0.761866 0.000338514
          16   -0.758581    -0.76166 0.000374461
          17   -0.763104   -0.761745 0.000361933
          18   -0.762059   -0.761763 0.000342244
          19   -0.762107   -0.761781 0.000324709
          20   -0.760952   -0.761739 0.000311107
          21   -0.763672   -0.761831 0.000309604
          22   -0.761624   -0.761822 0.000295675
          23   -0.762075   -0.761833 0.000283023
          24   -0.761155   -0.761805 0.000272639
          25   -0.761795   -0.761804 0.000261733
          26   -0.762416   -0.761828 0.000252722
          27    -0.76232   -0.761846 0.000244018
          28   -0.762043   -0.761853 0.000235404
          29   -0.759248   -0.761763 0.000243825
          30   -0.761275   -0.761747 0.000236241
          31   -0.759141   -0.761663 0.000243114
          32   -0.760944    -0.76164 0.000236553
          33   -0.761435   -0.761634 0.000229467
          34   -0.762453   -0.761658 0.000223979
          35   -0.762224   -0.761675 0.000218162
          36   -0.761744   -0.761676  0.00021211
          37   -0.759613   -0.761621 0.000213581
          38   -0.762528   -0.761645 0.000209291
          39   -0.762867   -0.761676 0.000206257
          40   -0.761496   -0.761671 0.000201149
          41   -0.764136   -0.761732 0.000205029
          42   -0.759555    -0.76168 0.000206594
          43   -0.761931   -0.761686 0.000201872
          44   -0.759952   -0.761646 0.000201092
          45   -0.759448   -0.761597 0.000202469
          46   -0.759957   -0.761562 0.000201182
          47   -0.763011   -0.761592  0.00019925
          48   -0.761741   -0.761596 0.000195123
          49   -0.760901   -0.761581 0.000191654
          50   -0.760317   -0.761556 0.000189481
