#   N_BLOCK:  ACCEPTANCE:
           1    0.385991
           2    0.386642
           3    0.386373
           4    0.386889
           5    0.387053
           6    0.387176
           7     0.38693
           8     0.38704
           9    0.387095
          10    0.387224
          11    0.387252
          12    0.387072
          13    0.387079
          14    0.386994
          15    0.386966
          16    0.386906
          17    0.386809
          18    0.386835
          19    0.386753
          20    0.386718
          21    0.386686
          22    0.386717
          23     0.38665
          24    0.386639
          25    0.386633
          26    0.386618
          27    0.386606
          28    0.386635
          29    0.386669
          30    0.386671
          31    0.386692
          32    0.386711
          33     0.38665
          34    0.386655
          35    0.386633
          36    0.386622
          37    0.386612
          38     0.38661
          39    0.386612
          40    0.386632
          41    0.386641
          42    0.386638
          43    0.386665
          44    0.386653
          45     0.38665
          46    0.386645
          47     0.38665
          48    0.386645
          49    0.386618
          50    0.386636
