#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.96221     2.96221           0
           2     2.92515     2.94368    0.013101
           3     2.96484     2.95073   0.0104609
           4     2.90669     2.93972   0.0123479
           5     2.92261      2.9363   0.0103418
           6     2.92717     2.93478  0.00872953
           7     2.94206     2.93582  0.00754413
           8     2.92381     2.93432  0.00674875
           9     2.92093     2.93283   0.0061606
          10     2.87161     2.92671  0.00802952
          11     2.89616     2.92393  0.00776491
          12     2.99625     2.92996  0.00916296
          13     2.90459     2.92801  0.00866343
          14     2.95065     2.92962  0.00819425
          15     2.97003     2.93232  0.00807861
          16     3.08254     2.94171   0.0118325
          17     3.00688     2.94554   0.0117411
          18     2.97221     2.94702    0.011182
          19     3.01731     2.95072   0.0111887
          20     2.94692     2.95053   0.0106309
          21     2.94873     2.95045    0.010125
          22     2.96005     2.95088   0.0096742
          23     3.05188     2.95527   0.0102016
          24       2.996     2.95697  0.00991668
          25     2.92298     2.95561  0.00961276
          26     2.94645     2.95526  0.00924949
          27     2.93579     2.95454  0.00893499
          28     3.04058     2.95761  0.00912904
          29     3.08029     2.96184  0.00974528
          30     2.87481     2.95894  0.00984275
          31       2.946     2.95852  0.00953409
          32     3.01488     2.96028   0.0093974
          33     3.08449     2.96405  0.00983751
          34     3.00147     2.96515  0.00960956
          35     3.00928     2.96641  0.00941735
          36     2.89643     2.96447  0.00935423
          37     3.01623     2.96586  0.00920545
          38     2.91866     2.96462  0.00904664
          39     2.96884     2.96473  0.00881532
          40     3.02255     2.96618  0.00871266
          41     2.99137     2.96679   0.0085218
          42     2.91197     2.96548  0.00841826
          43      3.0381     2.96717  0.00839014
          44     2.99294     2.96776  0.00821986
          45     2.97553     2.96793  0.00803901
          46      2.9977     2.96858  0.00789025
          47     2.95004     2.96818  0.00773222
          48     3.12283     2.97141  0.00821497
          49     2.95341     2.97104  0.00805552
          50      3.0341      2.9723  0.00799252
