#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.059072    0.059072           0
           2   0.0485013   0.0537867   0.0037373
           3   0.0696307    0.059068  0.00498023
           4   0.0594213   0.0591563  0.00373596
           5   0.0492547    0.057176   0.0034742
           6   0.0645507   0.0584051  0.00310499
           7     0.06024   0.0586672  0.00267246
           8    0.058164   0.0586043  0.00233914
           9   0.0573733   0.0584676  0.00208323
          10    0.055928   0.0582136  0.00189032
          11   0.0560547   0.0580173  0.00172864
          12   0.0610853    0.058273  0.00160338
          13   0.0576747    0.058227   0.0014807
          14    0.059676   0.0583305  0.00137855
          15   0.0485627   0.0576793  0.00143221
          16   0.0654653   0.0581659  0.00142297
          17   0.0615013   0.0583621  0.00135273
          18   0.0590293   0.0583992  0.00127808
          19    0.057108   0.0583312  0.00121262
          20    0.046288   0.0577291  0.00129288
          21   0.0606827   0.0578697  0.00123894
          22   0.0462107   0.0573398  0.00129101
          23   0.0583413   0.0573833  0.00123561
          24   0.0551893   0.0572919   0.0011875
          25   0.0602347   0.0574096  0.00114582
          26    0.058672   0.0574582  0.00110278
          27   0.0602293   0.0575608   0.0010667
          28    0.060604   0.0576695  0.00103413
          29   0.0630147   0.0578538  0.00101476
          30   0.0576093   0.0578456 0.000980969
          31    0.059884   0.0579114 0.000951526
          32   0.0599827   0.0579761 0.000923989
          33    0.065092   0.0581918 0.000920807
          34    0.068984   0.0585092 0.000946855
          35   0.0631227    0.058641 0.000928932
          36   0.0624507   0.0587468 0.000909136
          37    0.057208   0.0587052 0.000885516
          38    0.069592   0.0589917 0.000907375
          39    0.053156   0.0588421 0.000896362
          40   0.0641653   0.0589752 0.000883777
          41   0.0517947      0.0588 0.000879403
          42   0.0619453   0.0588749 0.000861648
          43   0.0559987    0.058808 0.000844202
          44   0.0682933   0.0590236 0.000852095
          45   0.0513067   0.0588521 0.000850241
          46    0.054728   0.0587625 0.000836471
          47   0.0634973   0.0588632 0.000824718
          48   0.0502467   0.0586837 0.000826842
          49   0.0571507   0.0586524  0.00081056
          50   0.0614707   0.0587088 0.000796306
