#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.293625    0.293625           0
           2    0.295885    0.294755 0.000798959
           3    0.292065    0.293858 0.000905405
           4    0.290941    0.293129 0.000927385
           5     0.29339    0.293181  0.00074337
           6    0.301535    0.294574  0.00141388
           7    0.295649    0.294727  0.00122021
           8    0.291733    0.294353  0.00112362
           9    0.294667    0.294388  0.00099932
          10    0.289941    0.293943 0.000993397
          11    0.296884     0.29421 0.000938372
          12    0.294005    0.294193 0.000860331
          13    0.287669    0.293691  0.00092907
          14    0.295577    0.293826 0.000872415
          15    0.293168    0.293782 0.000815357
          16    0.289572    0.293519 0.000805745
          17    0.294835    0.293597 0.000762057
          18      0.2959    0.293724 0.000730382
          19    0.294565    0.293769 0.000693281
          20    0.293108    0.293736 0.000659403
          21    0.292825    0.293692 0.000629427
          22    0.291286    0.293583 0.000610244
          23    0.293385    0.293574 0.000583772
          24    0.292594    0.293534 0.000560875
          25    0.292681    0.293499 0.000539476
          26    0.290093    0.293368 0.000534404
          27    0.290986     0.29328 0.000521843
          28     0.29746    0.293429 0.000524125
          29    0.292575      0.2934 0.000506879
          30    0.292705    0.293377 0.000490513
          31    0.291399    0.293313 0.000478821
          32    0.289624    0.293198 0.000477536
          33    0.296129    0.293287 0.000471256
          34    0.295687    0.293357 0.000462654
          35    0.295183    0.293409 0.000452366
          36    0.291443    0.293355 0.000443087
          37    0.296332    0.293435 0.000438356
          38    0.287517    0.293279 0.000453642
          39    0.290249    0.293202 0.000448615
          40      0.2931    0.293199 0.000437407
          41    0.294994    0.293243 0.000428924
          42    0.294386     0.29327 0.000419574
          43    0.289741    0.293188 0.000417766
          44    0.295955    0.293251 0.000412978
          45    0.291637    0.293215 0.000405356
          46    0.294571    0.293245 0.000397614
          47    0.296597    0.293316 0.000395499
          48    0.297054    0.293394 0.000394853
          49    0.292799    0.293382 0.000386981
          50    0.291264    0.293339 0.000381553
