#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.49114     2.49114           0
           2     2.43831     2.46472   0.0186808
           3     2.52063     2.48336   0.0196623
           4     2.55975     2.50246   0.0221588
           5     2.60538     2.52304   0.0255585
           6     2.54092     2.52602   0.0214718
           7      2.4972      2.5219   0.0187951
           8     2.46611     2.51493   0.0176924
           9      2.3927     2.50135   0.0202799
          10     2.49991     2.50121   0.0182525
          11     2.50647     2.50168   0.0165994
          12     2.55088     2.50578   0.0157142
          13      2.3847     2.49647   0.0170436
          14     2.47693     2.49507   0.0158833
          15     2.56198     2.49953    0.015438
          16     2.43878     2.49574   0.0149328
          17     2.56574     2.49985    0.014611
          18     2.57123     2.50382   0.0143273
          19     2.54895      2.5062   0.0137687
          20     2.46147     2.50396   0.0132607
          21     2.53243     2.50531   0.0126983
          22     2.44744     2.50268   0.0123906
          23     2.53263     2.50399   0.0119201
          24     2.56473     2.50652    0.011689
          25     2.51581     2.50689   0.0112274
          26     2.45117     2.50475   0.0109982
          27     2.54645     2.50629   0.0106988
          28     2.56304     2.50832   0.0105069
          29     2.62684      2.5124   0.0109105
          30     2.59241     2.51507   0.0108679
          31     2.56906     2.51681   0.0106559
          32     2.55335     2.51795   0.0103839
          33     2.58033     2.51984   0.0102398
          34      2.5998      2.5222   0.0102051
          35      2.4269     2.51947   0.0102703
          36     2.62795     2.52249   0.0104177
          37     2.55912     2.52348   0.0101831
          38     2.51265     2.52319  0.00991912
          39     2.41429      2.5204   0.0100502
          40      2.5575     2.52133  0.00984161
          41     2.59306     2.52308  0.00975583
          42     2.51586      2.5229  0.00952506
          43     2.54177     2.52334  0.00931365
          44     2.50016     2.52282  0.00911687
          45     2.54592     2.52333  0.00892871
          46     2.47264     2.52223  0.00880235
          47       2.511     2.52199  0.00861831
          48     2.62872     2.52421  0.00872091
          49     2.51106     2.52394  0.00854707
          50     2.50733     2.52361  0.00838258
