#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583008   -0.583008           0
           2   -0.582837   -0.582923 6.03398e-05
           3   -0.583133   -0.582993 7.00401e-05
           4   -0.583101    -0.58302 5.75384e-05
           5   -0.583611   -0.583138 0.000115253
           6    -0.58204   -0.582955 0.000192714
           7   -0.582659   -0.582913 0.000169773
           8   -0.584083   -0.583059  0.00020194
           9   -0.581315   -0.582865 0.000256147
          10   -0.580029   -0.582582 0.000354293
          11   -0.583768   -0.582689 0.000338103
          12   -0.582821     -0.5827 0.000310107
          13   -0.582645   -0.582696 0.000286281
          14   -0.581917   -0.582641 0.000271184
          15    -0.58444   -0.582761 0.000278377
          16   -0.581901   -0.582707 0.000266108
          17   -0.584659   -0.582822 0.000274106
          18   -0.581771   -0.582763 0.000265024
          19   -0.583611   -0.582808   0.0002548
          20   -0.582355   -0.582785 0.000243066
          21   -0.582947   -0.582793 0.000231613
          22   -0.582584   -0.582783 0.000221279
          23   -0.580933   -0.582703 0.000225806
          24   -0.580968   -0.582631 0.000227675
          25   -0.583051   -0.582647 0.000219187
          26   -0.581765   -0.582614 0.000213366
          27   -0.584133    -0.58267 0.000212759
          28   -0.581931   -0.582643 0.000206792
          29   -0.583163   -0.582661 0.000200435
          30    -0.58312   -0.582677 0.000194336
          31   -0.583781   -0.582712 0.000191306
          32   -0.583864   -0.582748 0.000188683
          33   -0.583584   -0.582774 0.000184657
          34   -0.584443   -0.582823 0.000185637
          35   -0.581589   -0.582787 0.000183647
          36   -0.583776   -0.582815 0.000180587
          37   -0.582715   -0.582812 0.000175727
          38   -0.584229   -0.582849 0.000175015
          39   -0.582312   -0.582836 0.000171069
          40   -0.582909   -0.582838 0.000166802
          41   -0.584373   -0.582875 0.000166887
          42   -0.582376   -0.582863 0.000163336
          43   -0.582837   -0.582863 0.000159538
          44   -0.581456   -0.582831 0.000159083
          45   -0.582328   -0.582819 0.000155939
          46   -0.582485   -0.582812 0.000152718
          47   -0.583171    -0.58282 0.000149659
          48   -0.581317   -0.582788 0.000149779
          49   -0.581584   -0.582764 0.000148725
          50   -0.582168   -0.582752 0.000146227
