#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0497613   0.0497613           0
           2   0.0619893   0.0558753  0.00432325
           3   0.0483107   0.0533538  0.00354199
           4    0.044284   0.0510863  0.00330347
           5   0.0567173   0.0522125  0.00282824
           6   0.0522987   0.0522269   0.0023569
           7   0.0402533   0.0505164  0.00256692
           8   0.0521067   0.0507152  0.00225374
           9   0.0585933   0.0515905  0.00216666
          10   0.0482907   0.0512605  0.00197496
          11     0.05456   0.0515605  0.00181805
          12    0.055828   0.0519161  0.00170098
          13   0.0551653   0.0521661  0.00158839
          14     0.03652   0.0510485  0.00182625
          15    0.043688   0.0505578   0.0017692
          16   0.0569573   0.0509577  0.00170323
          17   0.0436707   0.0505291   0.0016561
          18   0.0521453   0.0506189  0.00156653
          19   0.0455613   0.0503527  0.00150653
          20    0.048908   0.0502805  0.00143293
          21   0.0434187   0.0499537  0.00140146
          22    0.050524   0.0499796  0.00133799
          23   0.0439813   0.0497188  0.00130499
          24    0.055124   0.0499441   0.0012699
          25    0.034288   0.0493178  0.00136481
          26    0.052268   0.0494313  0.00131703
          27    0.057532   0.0497313  0.00130197
          28   0.0435747   0.0495114   0.0012739
          29   0.0569307   0.0497673   0.0012554
          30   0.0628853   0.0502045  0.00128746
          31   0.0560027   0.0503916  0.00125944
          32     0.06654   0.0508962  0.00131731
          33    0.052324   0.0509395   0.0012781
          34    0.051476   0.0509553  0.00124061
          35    0.050088   0.0509305  0.00120541
          36   0.0469773   0.0508207  0.00117692
          37    0.041856   0.0505784  0.00116978
          38   0.0465627   0.0504727  0.00114376
          39   0.0484187     0.05042  0.00111565
          40   0.0510707   0.0504363  0.00108787
          41    0.046976   0.0503519  0.00106461
          42    0.051124   0.0503703  0.00103942
          43    0.048856   0.0503351  0.00101584
          44   0.0477987   0.0502774 0.000994391
          45     0.05016   0.0502748 0.000972296
          46   0.0436027   0.0501298 0.000961918
          47   0.0351467    0.049811 0.000992872
          48   0.0444493   0.0496993 0.000978451
          49   0.0489547   0.0496841   0.0009586
          50    0.047872   0.0496478 0.000940113
