#   N_BLOCK:  ACCEPTANCE:
           1    0.194923
           2    0.195204
           3    0.195634
           4     0.19527
           5    0.195405
           6    0.195479
           7    0.195335
           8    0.195308
           9    0.194973
          10    0.195182
          11    0.195186
          12    0.195224
          13    0.195161
          14    0.195266
          15    0.195295
          16    0.195349
          17    0.195279
          18    0.195346
          19    0.195317
          20    0.195409
          21    0.195475
          22    0.195461
          23    0.195577
          24    0.195558
          25    0.195586
          26    0.195538
          27      0.1955
          28    0.195596
          29    0.195621
          30     0.19574
          31    0.195684
          32    0.195697
          33     0.19568
          34    0.195637
          35    0.195572
          36    0.195532
          37    0.195573
          38     0.19551
          39    0.195617
          40    0.195618
          41    0.195596
          42    0.195567
          43    0.195506
          44    0.195535
          45    0.195554
          46    0.195548
          47    0.195556
          48    0.195604
          49    0.195586
          50    0.195595
