#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.181295    0.181295           0
           2    0.205896    0.193595  0.00869788
           3    0.198423    0.195204  0.00594557
           4    0.210847    0.199115  0.00559943
           5    0.194191     0.19813  0.00456533
           6    0.209072    0.199954  0.00415273
           7    0.195903    0.199375  0.00359959
           8    0.219873    0.201937  0.00395789
           9    0.197961    0.201496  0.00354269
          10    0.187555    0.200101  0.00345184
          11    0.205801     0.20062  0.00317669
          12    0.195672    0.200207   0.0029386
          13    0.198264    0.200058  0.00271635
          14    0.207385    0.200581  0.00257226
          15    0.187528    0.199711  0.00254372
          16    0.198261     0.19962  0.00238635
          17     0.21134     0.20031  0.00234344
          18    0.201415    0.200371  0.00221405
          19    0.187532    0.199695  0.00219823
          20    0.213776    0.200399  0.00219817
          21    0.216336    0.201158  0.00222063
          22    0.213536    0.201721   0.0021898
          23    0.167275    0.200223  0.00255593
          24    0.202019    0.200298  0.00245053
          25    0.185392    0.199702  0.00242396
          26     0.21882    0.200437  0.00243971
          27    0.193029    0.200163  0.00236473
          28    0.202628    0.200251  0.00228192
          29    0.205879    0.200445  0.00221146
          30    0.171319    0.199474  0.00234119
          31    0.189187    0.199142  0.00228906
          32      0.1887    0.198816  0.00224067
          33    0.210353    0.199165  0.00219988
          34    0.213964    0.199601  0.00217781
          35    0.210739    0.199919  0.00213871
          36    0.215527    0.200353  0.00212279
          37    0.221513    0.200924  0.00214107
          38    0.196685    0.200813  0.00208763
          39    0.187231    0.200465  0.00206294
          40    0.216132    0.200856  0.00204822
          41    0.184645    0.200461  0.00203607
          42    0.192392    0.200269  0.00199663
          43    0.236073    0.201101  0.00211671
          44    0.204868    0.201187  0.00207034
          45    0.207489    0.201327  0.00202906
          46    0.227601    0.201898  0.00206378
          47    0.178164    0.201393  0.00208073
          48    0.192697    0.201212  0.00204526
          49    0.172363    0.200623  0.00208654
          50    0.205556    0.200722  0.00204714
