#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434652    0.434652           0
           2    0.448993    0.441822  0.00507018
           3    0.444588    0.442744  0.00346289
           4    0.440943    0.442294  0.00262628
           5    0.421879    0.438211   0.0042132
           6     0.44546    0.439419  0.00368014
           7    0.440046    0.439509   0.0031555
           8    0.428832    0.438174  0.00303018
           9    0.437728    0.438124   0.0026939
          10     0.43255    0.437567  0.00248153
          11    0.433805    0.437225  0.00227938
          12    0.450013    0.438291  0.00232524
          13    0.435964    0.438112  0.00215325
          14    0.440964    0.438315  0.00200906
          15    0.443316    0.438649  0.00190257
          16    0.433317    0.438316  0.00181261
          17    0.439695    0.438397   0.0017078
          18     0.43942    0.438454  0.00161387
          19     0.42945     0.43798  0.00159698
          20    0.444128    0.438287  0.00154644
          21    0.442338     0.43848  0.00148478
          22     0.43871     0.43849  0.00141733
          23     0.44143    0.438618  0.00136146
          24    0.439086    0.438638  0.00130487
          25    0.435678    0.438519  0.00125803
          26    0.437195    0.438468  0.00121068
          27    0.434907    0.438337    0.001173
          28    0.435498    0.438235  0.00113548
          29    0.449769    0.438633  0.00116389
          30    0.443967    0.438811   0.0011386
          31    0.421368    0.438248  0.00123308
          32    0.417798    0.437609  0.00135002
          33    0.439661    0.437671  0.00131055
          34    0.431919    0.437502  0.00128287
          35    0.431268    0.437324  0.00125853
          36    0.443433    0.437494  0.00123495
          37    0.430422    0.437302  0.00121628
          38    0.423272    0.436933  0.00123905
          39    0.439616    0.437002  0.00120919
          40    0.438422    0.437038  0.00117948
          41    0.437788    0.437056  0.00115085
          42    0.450225    0.437369  0.00116538
          43    0.446375    0.437579  0.00115694
          44    0.436709    0.437559  0.00113082
          45    0.437271    0.437553  0.00110571
          46    0.433735     0.43747  0.00108478
          47     0.42523    0.437209  0.00109251
          48    0.444795    0.437367  0.00108112
          49    0.436206    0.437344  0.00105931
          50    0.421583    0.437028  0.00108401
