#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.54654     2.54654           0
           2     2.46109     2.50382   0.0302101
           3     2.56075     2.52279    0.025412
           4     2.54103     2.52735   0.0194636
           5     2.52515     2.52691   0.0155759
           6     2.49243     2.52117   0.0140002
           7     2.56111     2.52687   0.0131116
           8     2.50735     2.52443   0.0116975
           9     2.49165     2.52079   0.0109503
          10      2.5248     2.52119  0.00986257
          11     2.51253      2.5204  0.00899732
          12     2.57719     2.52513  0.00940997
          13     2.56793     2.52843  0.00924396
          14     2.49184     2.52581  0.00894552
          15     2.51424     2.52504  0.00838234
          16     2.58632     2.52887  0.00868956
          17     2.49873      2.5271   0.0083573
          18     2.58351     2.53023   0.0084602
          19     2.52581        2.53  0.00801812
          20     2.51063     2.52903  0.00767547
          21     2.54476     2.52978  0.00734643
          22     2.55038     2.53072  0.00707193
          23     2.47464     2.52828  0.00717243
          24     2.52171       2.528   0.0068788
          25      2.5921     2.53057  0.00706536
          26     2.56234     2.53179  0.00689846
          27     2.55016     2.53247  0.00667644
          28     2.52444     2.53218  0.00644416
          29     2.56513     2.53332  0.00632126
          30     2.57788     2.53481  0.00628263
          31     2.52111     2.53436  0.00609548
          32     2.54903     2.53482  0.00592222
          33     2.56293     2.53567  0.00580368
          34     2.59271     2.53735  0.00587046
          35     2.53234     2.53721  0.00570447
          36     2.53082     2.53703  0.00554878
          37     2.53177     2.53689  0.00540063
          38     2.45474     2.53473  0.00567475
          39     2.50248      2.5339  0.00558916
          40     2.53171     2.53385   0.0054497
          41     2.51618     2.53341  0.00533379
          42      2.5242     2.53319  0.00521131
          43     2.55522     2.53371  0.00511522
          44     2.54663       2.534  0.00500739
          45     2.45033     2.53214  0.00522997
          46      2.5554     2.53265  0.00514066
          47     2.52124      2.5324  0.00503701
          48     2.51641     2.53207  0.00494308
          49     2.50303     2.53148   0.0048776
          50     2.51876     2.53122  0.00478667
