#   N_BLOCK:  ACCEPTANCE:
           1     0.41618
           2    0.417081
           3    0.416805
           4    0.417114
           5    0.417042
           6    0.417213
           7     0.41696
           8    0.416942
           9    0.417096
          10    0.417138
          11    0.417223
          12    0.417256
          13     0.41728
          14    0.417303
          15    0.417252
          16    0.417232
          17    0.417191
          18    0.417276
          19    0.417175
          20    0.417198
          21    0.417215
          22    0.417223
          23    0.417188
          24    0.417196
          25    0.417147
          26    0.417105
          27    0.417117
          28    0.417125
          29     0.41715
          30    0.417116
          31    0.417135
          32    0.417206
          33    0.417167
          34    0.417127
          35    0.417071
          36    0.417081
          37     0.41707
          38    0.417102
          39    0.417132
          40     0.41715
          41    0.417149
          42    0.417147
          43    0.417157
          44     0.41715
          45    0.417133
          46    0.417127
          47    0.417135
          48    0.417119
          49    0.417129
          50    0.417139
