#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.049332    0.049332           0
           2    0.044468      0.0469  0.00171968
           3   0.0532667   0.0490222  0.00207772
           4   0.0528933     0.04999  0.00176938
           5   0.0513027   0.0502525  0.00143485
           6   0.0483307   0.0499322  0.00123094
           7    0.048772   0.0497665  0.00106619
           8   0.0547133   0.0503848  0.00109768
           9    0.045768   0.0498719  0.00108901
          10   0.0522733    0.050112  0.00100624
          11    0.051876   0.0502724 0.000927451
          12    0.051484   0.0503733 0.000855642
          13    0.051072   0.0504271  0.00079151
          14    0.045284   0.0500597 0.000815783
          15   0.0578053   0.0505761  0.00091027
          16   0.0542733   0.0508072 0.000882221
          17    0.064328   0.0516025  0.00113349
          18   0.0571373     0.05191  0.00111144
          19   0.0443253   0.0515108  0.00112235
          20   0.0538613   0.0516283  0.00107237
          21   0.0457693   0.0513493  0.00105697
          22   0.0545827   0.0514963   0.0010191
          23   0.0514627   0.0514948 0.000974788
          24   0.0495013   0.0514118 0.000937704
          25   0.0551227   0.0515602 0.000911869
          26   0.0504867   0.0515189 0.000877731
          27   0.0514093   0.0515149 0.000845232
          28      0.0525     0.05155 0.000815777
          29   0.0582587   0.0517814  0.00081979
          30   0.0536547   0.0518438 0.000794839
          31   0.0441307    0.051595 0.000807203
          32     0.04924   0.0515214 0.000785326
          33    0.056396   0.0516691 0.000775296
          34   0.0415907   0.0513727 0.000807173
          35   0.0575213   0.0515484 0.000803001
          36   0.0551587   0.0516487 0.000786933
          37   0.0595813   0.0518631 0.000794333
          38    0.058892    0.052048 0.000794675
          39   0.0466547   0.0519097 0.000786239
          40   0.0453453   0.0517456 0.000783523
          41    0.044572   0.0515707 0.000783705
          42   0.0475773   0.0514756 0.000770792
          43   0.0478107   0.0513904 0.000757564
          44   0.0536707   0.0514422 0.000742117
          45   0.0441333   0.0512798 0.000743186
          46   0.0480693     0.05121   0.0007303
          47   0.0490613   0.0511643 0.000716191
          48   0.0512147   0.0511653 0.000701271
          49    0.049572   0.0511328 0.000687713
          50   0.0508573   0.0511273 0.000673981
