#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.454575    0.454575           0
           2    0.495811    0.475193   0.0145791
           3    0.443032    0.464472   0.0130799
           4    0.478559    0.467994    0.010273
           5    0.455699    0.465535  0.00850764
           6    0.466256    0.465655  0.00709055
           7    0.409027    0.457565  0.00964535
           8     0.48816     0.46139  0.00916654
           9    0.446648    0.459752  0.00829309
          10    0.448403    0.458617  0.00754104
          11    0.363985    0.450014   0.0106901
          12    0.437891    0.449004   0.0098469
          13    0.396463    0.444962  0.00988414
          14    0.483353    0.447704  0.00955096
          15    0.450105    0.447864  0.00891557
          16    0.518632    0.452287  0.00939159
          17    0.434356    0.451233  0.00889818
          18    0.517604     0.45492  0.00913594
          19    0.488467    0.456685  0.00882406
          20    0.522571     0.45998  0.00897674
          21    0.378631    0.456106  0.00934781
          22    0.499465    0.458077  0.00912832
          23    0.389227    0.455083   0.0092092
          24    0.424237    0.453798  0.00891471
          25    0.430225    0.452855  0.00860785
          26    0.412989    0.451322  0.00841223
          27    0.513213    0.453614  0.00840718
          28    0.453953    0.453626  0.00810693
          29    0.416449    0.452344   0.0079281
          30    0.480625    0.453287  0.00771967
          31    0.392615     0.45133  0.00771476
          32    0.468883    0.451878  0.00749315
          33    0.424328    0.451044  0.00731245
          34    0.563471     0.45435  0.00780931
          35    0.362709    0.451732   0.0080131
          36    0.439387    0.451389  0.00779785
          37    0.427139    0.450734  0.00761459
          38    0.422031    0.449978  0.00745158
          39    0.407465    0.448888  0.00733981
          40     0.47702    0.449591  0.00718993
          41     0.39056    0.448152  0.00715728
          42    0.372876    0.446359  0.00720778
          43    0.453205    0.446519  0.00704191
          44    0.316751    0.443569    0.007474
          45    0.493731    0.444684  0.00739057
          46    0.401037    0.443735  0.00729056
          47    0.490477     0.44473  0.00720295
          48    0.383268    0.443449   0.0071658
          49    0.402808     0.44262  0.00706739
          50    0.461952    0.443006  0.00693661
