#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.248936    0.248936           0
           2    0.246722    0.247829 0.000782738
           3    0.246202    0.247287 0.000684513
           4    0.248098     0.24749 0.000542626
           5    0.246671    0.247326 0.000458121
           6     0.24695    0.247263 0.000386039
           7     0.24997     0.24765 0.000487539
           8    0.251218    0.248096 0.000596709
           9    0.250948    0.248413  0.00060875
          10    0.250069    0.248578 0.000569953
          11     0.24661      0.2484 0.000545503
          12    0.246092    0.248207 0.000532867
          13    0.249054    0.248272  0.00049584
          14    0.250891    0.248459 0.000494442
          15    0.247348    0.248385 0.000466995
          16    0.251307    0.248568 0.000472154
          17    0.249941    0.248649 0.000451238
          18    0.250659     0.24876 0.000439769
          19    0.250465     0.24885 0.000425675
          20      0.2493    0.248873 0.000404984
          21    0.250526    0.248951 0.000393281
          22    0.247562    0.248888 0.000380438
          23     0.25239     0.24904 0.000393189
          24    0.250407    0.249097 0.000380905
          25     0.24994    0.249131 0.000367156
          26    0.250469    0.249182 0.000356625
          27    0.244829    0.249021 0.000378116
          28    0.245742    0.248904  0.00038232
          29    0.249846    0.248937 0.000370513
          30     0.25294     0.24907 0.000381435
          31    0.248404    0.249049 0.000369736
          32    0.250382     0.24909 0.000360523
          33    0.250112    0.249121 0.000350925
          34    0.249624    0.249136 0.000340915
          35    0.249697    0.249152 0.000331551
          36    0.246782    0.249086  0.00032881
          37    0.248964    0.249083  0.00031994
          38    0.248558    0.249069 0.000311818
          39    0.249477     0.24908 0.000303998
          40    0.249935    0.249101 0.000297149
          41    0.251578    0.249161 0.000295979
          42    0.252936    0.249251 0.000302267
          43    0.248782     0.24924 0.000295434
          44    0.248179    0.249216 0.000289702
          45    0.251002    0.249256 0.000285969
          46    0.249847    0.249269 0.000280041
          47    0.251083    0.249307  0.00027673
          48    0.251003    0.249343 0.000273209
          49    0.248014    0.249316 0.000268976
          50    0.243941    0.249208 0.000284265
