#   N_BLOCK:  ACCEPTANCE:
           1    0.470373
           2    0.471536
           3    0.471459
           4    0.471873
           5    0.471655
           6    0.472071
           7     0.47199
           8    0.472001
           9    0.472051
          10    0.472086
          11    0.471899
          12    0.471878
          13    0.471744
          14    0.471654
          15    0.471658
          16    0.471732
          17    0.471788
          18    0.471859
          19     0.47179
          20    0.471792
          21    0.471749
          22    0.471696
          23    0.471688
          24    0.471658
          25    0.471641
          26    0.471626
          27     0.47158
          28    0.471564
          29    0.471568
          30    0.471576
          31    0.471614
          32    0.471632
          33    0.471603
          34    0.471543
          35    0.471476
          36    0.471467
          37    0.471449
          38    0.471449
          39    0.471449
          40    0.471479
          41    0.471444
          42    0.471434
          43    0.471443
          44    0.471416
          45    0.471423
          46    0.471416
          47    0.471416
          48    0.471423
          49    0.471415
          50    0.471416
