#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.89437     1.89437           0
           2     1.88178     1.88808  0.00445117
           3     1.92144      1.8992  0.00955207
           4      1.8422     1.88495   0.0142685
           5     1.88111     1.88418   0.0114354
           6     1.88005     1.88349  0.00955017
           7     1.89305     1.88486  0.00828285
           8      1.8998     1.88672  0.00745507
           9     1.92068      1.8905  0.00752123
          10     1.90648      1.8921  0.00693693
          11     1.89341     1.89222  0.00630732
          12     1.90634     1.89339  0.00589054
          13     1.94594     1.89743  0.00668181
          14      1.9048     1.89796  0.00622519
          15     1.90603      1.8985  0.00583339
          16     1.96851     1.90287  0.00691794
          17     1.87995     1.90153  0.00664115
          18     1.92692     1.90294  0.00642029
          19     1.85909     1.90063  0.00648384
          20     1.93214      1.9022   0.0063482
          21     1.91878     1.90299   0.0060948
          22     1.90158     1.90293   0.0058181
          23     1.90474     1.90301  0.00556568
          24      1.9007     1.90291  0.00533461
          25     1.87265      1.9017  0.00525677
          26     1.89906      1.9016  0.00505557
          27     1.84681     1.89957   0.0052599
          28      1.8772     1.89877  0.00513238
          29     1.94344     1.90031  0.00518141
          30     1.86926     1.89928  0.00511106
          31     1.87397     1.89846  0.00501094
          32     1.91171     1.89887  0.00487142
          33     1.89498     1.89876  0.00472523
          34     1.89567     1.89867  0.00458712
          35     1.94538         1.9   0.0046462
          36     1.91935     1.90054  0.00454811
          37     1.90831     1.90075  0.00443003
          38     1.89635     1.90063  0.00431496
          39     1.87791     1.90005  0.00424346
          40     1.94137     1.90108  0.00426123
          41     1.98523     1.90314  0.00462525
          42     1.87366     1.90243  0.00456804
          43     1.90598     1.90252  0.00446255
          44     1.84362     1.90118  0.00455744
          45     1.91174     1.90141   0.0044622
          46      1.8871      1.9011  0.00437604
          47     1.96106     1.90238    0.004465
          48     1.89519     1.90223  0.00437449
          49     1.87411     1.90165  0.00432269
          50     1.93216     1.90226  0.00427906
