#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528749   -0.528749           0
           2   -0.527165   -0.527957 0.000560029
           3   -0.530043   -0.528652 0.000679346
           4   -0.526864   -0.528205 0.000639947
           5   -0.529672   -0.528499  0.00057527
           6   -0.525971   -0.528077 0.000614615
           7    -0.52712   -0.527941 0.000541815
           8   -0.527597   -0.527898 0.000475784
           9   -0.527168   -0.527817 0.000429771
          10   -0.528197   -0.527855 0.000388477
          11   -0.530088   -0.528058 0.000402736
          12   -0.528891   -0.528127 0.000375109
          13   -0.530045   -0.528275 0.000374152
          14   -0.529536   -0.528365  0.00035811
          15   -0.528728   -0.528389 0.000335054
          16   -0.528048   -0.528368  0.00031479
          17   -0.526155   -0.528237 0.000322067
          18   -0.526992   -0.528168 0.000311518
          19   -0.528437   -0.528182 0.000295444
          20   -0.527381   -0.528142 0.000283374
          21   -0.530256   -0.528243 0.000287198
          22   -0.529376   -0.528295 0.000278723
          23   -0.527701   -0.528269 0.000267795
          24   -0.528472   -0.528277 0.000256771
          25   -0.528579   -0.528289 0.000246783
          26   -0.529243   -0.528326     0.00024
          27   -0.529816   -0.528381 0.000237371
          28   -0.528731   -0.528394 0.000229222
          29   -0.528683   -0.528404 0.000221534
          30   -0.526837   -0.528351 0.000220216
          31   -0.526931   -0.528306 0.000217829
          32   -0.528443    -0.52831 0.000211064
          33   -0.529136   -0.528335 0.000206147
          34    -0.53144   -0.528426 0.000219383
          35   -0.530621   -0.528489 0.000221899
          36   -0.528459   -0.528488 0.000215737
          37   -0.529112   -0.528505 0.000210564
          38   -0.528803   -0.528513 0.000205169
          39   -0.528109   -0.528502 0.000200169
          40   -0.527323   -0.528473 0.000197325
          41   -0.529411   -0.528496 0.000193834
          42   -0.528803   -0.528503 0.000189356
          43   -0.527512    -0.52848  0.00018635
          44   -0.529061   -0.528493 0.000182582
          45   -0.528443   -0.528492 0.000178529
          46   -0.528643   -0.528495 0.000174677
          47   -0.528995   -0.528506 0.000171284
          48   -0.527288   -0.528481 0.000169584
          49   -0.528675   -0.528485  0.00016617
          50   -0.528317   -0.528481  0.00016288
