#   N_BLOCK:  ACCEPTANCE:
           1    0.536877
           2     0.53809
           3    0.537836
           4    0.538038
           5    0.537721
           6    0.537681
           7    0.537624
           8    0.537579
           9    0.537632
          10    0.537684
          11    0.537717
          12    0.537635
          13    0.537654
          14    0.537605
          15    0.537648
          16    0.537673
          17     0.53773
          18    0.537798
          19    0.537702
          20    0.537769
          21    0.537749
          22    0.537778
          23    0.537744
          24     0.53773
          25    0.537693
          26    0.537717
          27    0.537706
          28    0.537687
          29    0.537682
          30    0.537678
          31     0.53769
          32    0.537719
          33    0.537736
          34    0.537742
          35     0.53772
          36    0.537708
          37    0.537696
          38    0.537731
          39    0.537746
          40    0.537759
          41    0.537745
          42    0.537733
          43    0.537767
          44     0.53774
          45    0.537752
          46    0.537751
          47    0.537758
          48    0.537775
          49    0.537761
          50    0.537771
