#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37513     1.37513           0
           2     1.32962     1.35238   0.0160923
           3     1.35537     1.35337   0.0107591
           4     1.33213     1.34806  0.00928835
           5     1.38355     1.35516  0.00977306
           6     1.35217     1.35466  0.00815692
           7     1.35279     1.35439  0.00699603
           8     1.37234     1.35664  0.00647124
           9     1.37052     1.35818  0.00593314
          10     1.35002     1.35736  0.00539562
          11     1.35573     1.35721  0.00490715
          12     1.38039     1.35915  0.00486343
          13     1.35027     1.35846  0.00453703
          14     1.35363     1.35812  0.00422606
          15     1.38325     1.35979  0.00426367
          16     1.33249     1.35809  0.00432523
          17     1.34969     1.35759  0.00409892
          18     1.37304     1.35845  0.00396002
          19     1.34873     1.35794  0.00378454
          20     1.34021     1.35705  0.00369772
          21     1.35525     1.35697  0.00352264
          22      1.3645     1.35731  0.00337913
          23     1.39786     1.35907  0.00366338
          24     1.35952     1.35909  0.00351079
          25     1.37975     1.35992  0.00346621
          26     1.32932     1.35874  0.00352705
          27     1.36042      1.3588  0.00339697
          28     1.35667     1.35873   0.0032765
          29      1.3679     1.35904  0.00317874
          30     1.37466     1.35956  0.00311511
          31     1.34623     1.35913  0.00304416
          32     1.35765     1.35909  0.00294938
          33     1.36366     1.35922  0.00286326
          34     1.36669     1.35944  0.00278746
          35     1.38326     1.36012  0.00278962
          36     1.36061     1.36014  0.00271217
          37     1.33845     1.35955  0.00270145
          38     1.33642     1.35894  0.00269809
          39     1.34761     1.35865  0.00264452
          40      1.3401     1.35819  0.00261876
          41     1.34395     1.35784   0.0025778
          42      1.3558     1.35779  0.00251689
          43     1.31871     1.35688  0.00261729
          44     1.36715     1.35712  0.00256819
          45     1.34363     1.35682  0.00252854
          46      1.3525     1.35672  0.00247532
          47       1.367     1.35694  0.00243228
          48      1.3474     1.35674  0.00238971
          49     1.37154     1.35705  0.00235994
          50     1.36966      1.3573  0.00232619
