#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0263067   0.0263067           0
           2   0.0226133     0.02446  0.00130579
           3   0.0326333   0.0271844  0.00238877
           4   0.0325707    0.028531  0.00213768
           5    0.027188   0.0282624  0.00172693
           6    0.032348   0.0289433  0.00156762
           7   0.0224933   0.0280219   0.0015916
           8     0.02546   0.0277017  0.00142451
           9    0.028484   0.0277886  0.00126888
          10   0.0265893   0.0276687  0.00114764
          11   0.0279173   0.0276913  0.00104353
          12   0.0284493   0.0277544 0.000958482
          13   0.0315373   0.0280454 0.000927874
          14   0.0279893   0.0280414 0.000861606
          15    0.026304   0.0279256 0.000811914
          16   0.0247827   0.0277292 0.000784572
          17   0.0262133     0.02764  0.00074347
          18   0.0241227   0.0274446 0.000727393
          19   0.0266907   0.0274049  0.00069019
          20   0.0302893   0.0275491  0.00067058
          21   0.0300107   0.0276663 0.000648811
          22   0.0239907   0.0274993 0.000640471
          23   0.0276187   0.0275045 0.000612645
          24    0.022884   0.0273119 0.000616626
          25   0.0296653   0.0274061 0.000599103
          26   0.0323453   0.0275961 0.000605431
          27   0.0271307   0.0275788 0.000583253
          28    0.027076   0.0275609 0.000562699
          29    0.026464    0.027523 0.000544565
          30    0.028764   0.0275644 0.000527982
          31   0.0269253   0.0275438 0.000511352
          32   0.0317507   0.0276753 0.000511993
          33    0.024332   0.0275739 0.000506402
          34   0.0218293    0.027405  0.00051893
          35   0.0263133   0.0273738 0.000505039
          36   0.0252547   0.0273149 0.000494429
          37   0.0268107   0.0273013 0.000481254
          38   0.0275147   0.0273069 0.000468622
          39   0.0284893   0.0273372 0.000457586
          40   0.0264373   0.0273147 0.000446699
          41   0.0236467   0.0272253 0.000444673
          42   0.0307307   0.0273087 0.000441848
          43     0.02604   0.0272792 0.000432557
          44   0.0285493   0.0273081 0.000423688
          45     0.02822   0.0273284 0.000414757
          46   0.0230227   0.0272348 0.000416169
          47     0.02988    0.027291 0.000411102
          48   0.0300587   0.0273487 0.000406561
          49   0.0269413   0.0273404 0.000398349
          50   0.0331373   0.0274563 0.000406904
