#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.202644    0.202644           0
           2    0.198091    0.200368  0.00160996
           3    0.195262    0.198666  0.00175578
           4    0.195447    0.197861  0.00148991
           5    0.197756     0.19784  0.00119208
           6    0.198994    0.198032   0.0010088
           7    0.194741    0.197562 0.000968066
           8    0.195759    0.197337 0.000872892
           9    0.196789    0.197276 0.000778023
          10    0.195941    0.197143  0.00071158
          11    0.198685    0.197283 0.000660568
          12    0.195661    0.197148 0.000619189
          13    0.195655    0.197033 0.000582111
          14    0.197164    0.197042 0.000540607
          15    0.197238    0.197055 0.000504725
          16    0.197016    0.197053 0.000473185
          17    0.196988    0.197049 0.000445366
          18    0.197086    0.197051 0.000420628
          19    0.193633    0.196871 0.000435259
          20    0.198266    0.196941 0.000419043
          21     0.19881     0.19703 0.000408433
          22    0.195308    0.196952 0.000397298
          23    0.196278    0.196922 0.000381103
          24     0.19714    0.196931 0.000365332
          25    0.196974    0.196933 0.000350723
          26    0.194409    0.196836 0.000350414
          27     0.19478     0.19676 0.000345614
          28    0.195073      0.1967 0.000338483
          29    0.197293     0.19672 0.000327428
          30    0.196611    0.196716 0.000316534
          31      0.1992    0.196796 0.000316301
          32    0.196615    0.196791 0.000306468
          33    0.195661    0.196757 0.000299087
          34     0.19495    0.196703 0.000294973
          35    0.198534    0.196756 0.000291145
          36    0.196811    0.196757 0.000283061
          37    0.195557    0.196725 0.000277264
          38    0.193772    0.196647 0.000280642
          39    0.197727    0.196675 0.000274808
          40    0.196491     0.19667 0.000267976
          41    0.196808    0.196674 0.000261461
          42    0.195231    0.196639 0.000257483
          43    0.199093    0.196696  0.00025774
          44    0.194487    0.196646 0.000256726
          45    0.198897    0.196696 0.000255847
          46    0.197962    0.196724 0.000251762
          47    0.194225     0.19667 0.000251957
          48     0.19799    0.196698 0.000248202
          49    0.196545    0.196695 0.000243156
          50    0.195929     0.19668 0.000238775
