#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.962099   -0.962099           0
           2   -0.966189   -0.964144  0.00144627
           3   -0.968075   -0.965454  0.00144017
           4   -0.969621   -0.966496  0.00140736
           5   -0.973211   -0.967839  0.00164633
           6   -0.975699   -0.969149  0.00181995
           7    -0.97444   -0.969905  0.00170973
           8   -0.971757   -0.970136  0.00151162
           9   -0.971603   -0.970299  0.00135241
          10   -0.975235   -0.970793  0.00130412
          11   -0.973077      -0.971  0.00120199
          12   -0.976019   -0.971419  0.00117231
          13   -0.970245   -0.971328   0.0010856
          14   -0.975421   -0.971621  0.00104668
          15   -0.978563   -0.972084  0.00107436
          16    -0.97184   -0.972068  0.00100732
          17   -0.976341    -0.97232 0.000978921
          18   -0.971795   -0.972291 0.000924971
          19   -0.976488   -0.972511 0.000902285
          20   -0.965328   -0.972152 0.000925902
          21   -0.967765   -0.971943 0.000905071
          22   -0.975523   -0.972106 0.000878433
          23   -0.974091   -0.972192 0.000844467
          24   -0.979389   -0.972492  0.00086088
          25   -0.981043   -0.972834   0.0008918
          26    -0.97264   -0.972827 0.000857532
          27   -0.974107   -0.972874  0.00082708
          28   -0.977085   -0.973025 0.000811101
          29   -0.974344    -0.97307 0.000784407
          30   -0.966587   -0.972854 0.000787468
          31   -0.971808    -0.97282 0.000762789
          32   -0.975651   -0.972909 0.000744062
          33   -0.977117   -0.973036 0.000732363
          34    -0.97572   -0.973115 0.000715065
          35   -0.974461   -0.973154 0.000695668
          36   -0.979496    -0.97333 0.000698296
          37   -0.975853   -0.973398 0.000682746
          38   -0.980155   -0.973576 0.000687542
          39   -0.970571   -0.973499 0.000674217
          40   -0.980291   -0.973669 0.000678406
          41   -0.972389   -0.973637 0.000662577
          42   -0.966059   -0.973457 0.000670922
          43   -0.978952   -0.973585 0.000667379
          44   -0.969117   -0.973483 0.000659889
          45   -0.966133    -0.97332 0.000665131
          46   -0.979253   -0.973449 0.000663061
          47   -0.976552   -0.973515 0.000652232
          48   -0.973859   -0.973522 0.000638683
          49   -0.973133   -0.973514 0.000625698
          50   -0.973997   -0.973524 0.000613259
