#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420495    0.420495           0
           2    0.370706    0.395601    0.017603
           3    0.363365    0.384856   0.0146523
           4    0.363011    0.379395   0.0119637
           5    0.358994    0.375314   0.0102431
           6    0.312012    0.364764   0.0128694
           7    0.326169     0.35925   0.0121547
           8     0.33263    0.355923   0.0110815
           9    0.347433     0.35498  0.00989031
          10    0.320856    0.351567  0.00947168
          11    0.332389    0.349824  0.00876962
          12    0.337203    0.348772  0.00810164
          13    0.351743    0.349001  0.00748166
          14    0.311775    0.346342  0.00740469
          15    0.299981    0.343251  0.00752847
          16    0.346576    0.343459  0.00706081
          17    0.303968    0.341136   0.0070172
          18    0.361297    0.342256  0.00671615
          19    0.315123    0.340828  0.00651273
          20     0.37909    0.342741  0.00646198
          21    0.368783    0.343981  0.00627213
          22    0.322327    0.342997  0.00606377
          23    0.313912    0.341732  0.00593052
          24    0.282784    0.339276  0.00617111
          25    0.278801    0.336857  0.00638078
          26    0.351619    0.337425  0.00616058
          27    0.333448    0.337277  0.00593417
          28    0.306845    0.336191  0.00582092
          29    0.319639     0.33562   0.0056481
          30    0.395888    0.337629  0.00580613
          31    0.355773    0.338214  0.00564826
          32    0.319822    0.337639  0.00550092
          33    0.313623    0.336912  0.00538215
          34    0.315974    0.336296  0.00525896
          35    0.319561    0.335818   0.0051304
          36    0.286307    0.334442  0.00516894
          37     0.31223    0.333842  0.00506398
          38    0.263931    0.332002  0.00525429
          39    0.346378    0.332371  0.00513248
          40    0.279471    0.331048  0.00517175
          41    0.344426    0.331375  0.00505589
          42     0.38084    0.332552  0.00507083
          43    0.282895    0.331398   0.0050827
          44    0.379066    0.332481  0.00508133
          45     0.37989    0.333534  0.00507646
          46    0.284944    0.332478  0.00507481
          47     0.30958    0.331991  0.00499016
          48    0.327411    0.331896  0.00488711
          49      0.3245    0.331745  0.00478971
          50    0.326468    0.331639  0.00469507
