#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      4.4223      4.4223           0
           2     4.35306     4.38768   0.0244816
           3      4.3411     4.37215    0.020667
           4     4.33986     4.36408   0.0170047
           5     4.46865     4.38499   0.0231295
           6     4.52962      4.4091    0.029252
           7     4.48721     4.42026    0.027118
           8     4.46001     4.42522   0.0241792
           9     4.44394      4.4273   0.0215819
          10     4.50961     4.43553   0.0209343
          11     4.57485      4.4482   0.0225388
          12     4.29961     4.43582   0.0238203
          13     4.42561     4.43503   0.0220009
          14     4.41219      4.4334   0.0204898
          15      4.4456     4.43421   0.0191399
          16     4.37303     4.43039   0.0183218
          17     4.48509     4.43361   0.0175243
          18      4.5192     4.43836   0.0171838
          19     4.36525     4.43451   0.0167046
          20     4.40977     4.43328   0.0159152
          21     4.47867     4.43544   0.0153034
          22     4.44804     4.43601   0.0146185
          23     4.38394     4.43375   0.0141572
          24     4.16131      4.4224   0.0175374
          25     4.44377     4.42325   0.0168568
          26     4.25541      4.4168   0.0174006
          27     4.28864     4.41205   0.0173915
          28      4.4552     4.41359   0.0168386
          29     4.36225     4.41182   0.0163507
          30      4.3287     4.40905   0.0160387
          31     4.52738     4.41287   0.0159691
          32     4.42838     4.41335   0.0154774
          33     4.52845     4.41684   0.0153964
          34     4.37696     4.41567   0.0149882
          35     4.45001     4.41665    0.014592
          36     4.44321     4.41739   0.0142053
          37     4.39308     4.41673   0.0138366
          38      4.5525      4.4203   0.0139261
          39       4.465     4.42145   0.0136161
          40     4.53443     4.42427   0.0135655
          41     4.52179     4.42665   0.0134416
          42     4.53339     4.42919   0.0133596
          43     4.47217     4.43019   0.0130863
          44     4.34451     4.42824   0.0129329
          45     4.43682     4.42843   0.0126469
          46     4.44186     4.42873   0.0123753
          47     4.58206     4.43199   0.0125347
          48     4.21036     4.42737   0.0130964
          49     4.42549     4.42733   0.0128292
          50     4.40782     4.42694   0.0125785
