#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.369069    0.369069           0
           2    0.373194    0.371132  0.00145818
           3    0.358425    0.366896  0.00359222
           4     0.36251      0.3658  0.00285661
           5    0.363368    0.365313  0.00232632
           6    0.372443    0.366502  0.00222144
           7    0.369479    0.366927  0.00194439
           8    0.368935    0.367178  0.00171747
           9    0.371031    0.367606  0.00157909
          10    0.368272    0.367673  0.00142258
          11    0.369105    0.367803  0.00129921
          12    0.367719    0.367796  0.00119096
          13    0.374833    0.368337  0.00121615
          14    0.370466    0.368489  0.00113875
          15    0.374888    0.368916  0.00113993
          16    0.374461    0.369262  0.00112014
          17    0.373851    0.369532  0.00108628
          18     0.37682    0.369937  0.00109879
          19    0.375367    0.370223  0.00107747
          20     0.37265    0.370344  0.00103041
          21    0.370163    0.370336 0.000981379
          22     0.36919    0.370284 0.000938152
          23    0.364848    0.370047 0.000926655
          24    0.367682    0.369949 0.000893268
          25    0.368694    0.369899 0.000858945
          26    0.372156    0.369985 0.000830286
          27    0.371972    0.370059 0.000802788
          28     0.36619    0.369921 0.000785921
          29    0.366737    0.369811 0.000766452
          30    0.367064    0.369719 0.000746353
          31    0.368843    0.369691 0.000722813
          32    0.366656    0.369596 0.000706422
          33    0.370515    0.369624 0.000685564
          34    0.369783    0.369629 0.000665416
          35    0.364271    0.369476 0.000663777
          36    0.374889    0.369626 0.000662152
          37     0.36436    0.369484 0.000659372
          38    0.371463    0.369536 0.000644075
          39    0.373118    0.369628 0.000634075
          40    0.370183    0.369642 0.000618375
          41    0.373897    0.369745  0.00061194
          42    0.377156    0.369922 0.000622286
          43    0.376053    0.370064 0.000623935
          44    0.369992    0.370063 0.000609757
          45    0.376889    0.370214 0.000614784
          46    0.368298    0.370173 0.000602829
          47    0.368715    0.370142   0.0005908
          48    0.371192    0.370164 0.000578897
          49    0.370619    0.370173 0.000567157
          50    0.370566    0.370181 0.000555869
