#   N_BLOCK:  ACCEPTANCE:
           1    0.316278
           2    0.317541
           3    0.317659
           4    0.317808
           5    0.317843
           6    0.317979
           7     0.31762
           8    0.317499
           9    0.317574
          10    0.317447
          11    0.317445
          12    0.317352
          13    0.317288
          14    0.317246
          15    0.317333
          16    0.317377
          17    0.317249
          18    0.317231
          19    0.317228
          20    0.317251
          21    0.317241
          22    0.317288
          23    0.317374
          24    0.317444
          25    0.317489
          26    0.317521
          27    0.317559
          28    0.317558
          29    0.317632
          30    0.317636
          31    0.317674
          32    0.317687
          33    0.317681
          34    0.317697
          35    0.317704
          36    0.317697
          37    0.317692
          38    0.317637
          39    0.317668
          40    0.317659
          41    0.317673
          42    0.317691
          43    0.317662
          44     0.31767
          45      0.3177
          46    0.317718
          47    0.317714
          48    0.317726
          49    0.317734
          50    0.317765
