#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.428753    0.428753           0
           2    0.436759    0.432756  0.00283031
           3    0.436547     0.43402  0.00215058
           4    0.424869    0.431732  0.00255474
           5    0.425469    0.430479  0.00233075
           6    0.431484    0.430647  0.00194829
           7    0.443102    0.432426   0.0023457
           8    0.422064    0.431131  0.00238343
           9    0.415235    0.429365  0.00269466
          10    0.432638    0.429692    0.002445
          11    0.419883      0.4288   0.0023798
          12    0.442854    0.429971  0.00245277
          13    0.451027    0.431591  0.00274731
          14    0.446434    0.432651  0.00274803
          15    0.439339    0.433097  0.00260075
          16    0.433457     0.43312   0.0024383
          17    0.428817    0.432867  0.00230797
          18    0.430984    0.432762  0.00218211
          19    0.416029    0.431881  0.00223795
          20    0.424513    0.431513  0.00215616
          21    0.427334    0.431314  0.00206265
          22    0.427733    0.431151   0.0019753
          23    0.448185    0.431892   0.0020235
          24    0.426566     0.43167  0.00195132
          25    0.430431     0.43162  0.00187389
          26    0.428786    0.431511  0.00180499
          27    0.438685    0.431777  0.00175758
          28    0.440489    0.432088  0.00172213
          29    0.429891    0.432012  0.00166441
          30    0.432877    0.432041  0.00160918
          31    0.423188    0.431756  0.00158241
          32    0.446453    0.432215  0.00159823
          33    0.415133    0.431697  0.00163147
          34     0.41853     0.43131   0.0016288
          35      0.4349    0.431413  0.00158549
          36    0.437375    0.431578  0.00155008
          37    0.433471    0.431629  0.00150903
          38     0.41397    0.431165  0.00153921
          39    0.433698     0.43123  0.00150111
          40    0.427907    0.431146  0.00146588
          41    0.438813    0.431333  0.00144201
          42    0.430084    0.431304  0.00140798
          43     0.43025    0.431279  0.00137545
          44    0.427239    0.431187  0.00134725
          45    0.429022    0.431139  0.00131817
          46    0.426846    0.431046  0.00129281
          47    0.443146    0.431303  0.00129068
          48    0.408032    0.430819  0.00135179
          49    0.436974    0.430944  0.00133003
          50     0.45706    0.431467  0.00140224
