#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.4392     24.4392           0
           2     22.9963     23.7178    0.510167
           3     23.4167     23.6174    0.349843
           4     25.0227     23.9687    0.401771
           5     24.1433     24.0036     0.32293
           6     24.8577      24.146    0.298839
           7     26.0647     24.4201    0.360573
           8     25.4387     24.5474    0.337233
           9     22.1333     24.2792    0.392191
          10     24.3444     24.2857    0.353026
          11     23.4214     24.2071     0.32956
          12     25.2094     24.2907    0.312501
          13     26.3414     24.4484    0.325854
          14     25.8902     24.5514    0.318437
          15     23.5493     24.4846    0.304134
          16     25.5592     24.5517    0.292449
          17     25.2661     24.5938    0.278248
          18     26.7465     24.7134    0.287345
          19      25.482     24.7538    0.275054
          20     23.6175      24.697    0.267106
          21     24.3655     24.6812    0.254852
          22      25.695     24.7273    0.247399
          23     25.7021     24.7697    0.240245
          24     24.2423     24.7477    0.231238
          25     24.4829     24.7371    0.222231
          26     25.0443     24.7489    0.213997
          27     24.2482     24.7304    0.206874
          28     25.3533     24.7526    0.200678
          29     24.4797     24.7432    0.193978
          30     24.7901     24.7448    0.187519
          31     25.8513     24.7805    0.184836
          32     24.1278     24.7601    0.180182
          33     25.6569     24.7873    0.176759
          34     21.5624     24.6924    0.195357
          35     24.6543     24.6913    0.189779
          36     24.1291     24.6757    0.185148
          37     25.9932     24.7113    0.183537
          38     23.5112     24.6797    0.181404
          39     24.6875     24.6799    0.176752
          40     24.9625      24.687    0.172475
          41     25.8627     24.7157    0.170635
          42      25.103     24.7249    0.166821
          43     24.0103     24.7083    0.163768
          44     24.4964     24.7035    0.160116
          45     24.0474     24.6889    0.157221
          46     23.1844     24.6562    0.157168
          47     26.0135      24.685    0.156454
          48     25.3084      24.698    0.153733
          49     24.7837     24.6998    0.150605
          50     26.5426     24.7366    0.152036
