#   N_BLOCK:  ACCEPTANCE:
           1    0.104968
           2    0.108067
           3    0.108889
           4    0.107889
           5    0.108237
           6    0.107984
           7     0.10771
           8    0.107285
           9    0.107721
          10    0.107943
          11    0.108171
          12    0.108124
          13    0.107842
          14    0.107763
          15    0.107935
          16    0.107852
          17    0.107731
          18    0.107556
          19    0.107489
          20    0.107592
          21    0.107675
          22    0.107597
          23    0.107648
          24    0.107653
          25    0.107667
          26    0.107598
          27    0.107598
          28    0.107565
          29    0.107593
          30    0.107574
          31      0.1075
          32    0.107602
          33    0.107561
          34     0.10771
          35    0.107692
          36    0.107712
          37    0.107666
          38    0.107715
          39    0.107734
          40    0.107752
          41    0.107741
          42     0.10773
          43    0.107735
          44    0.107723
          45    0.107733
          46    0.107784
          47    0.107744
          48    0.107682
          49    0.107673
          50     0.10767
