#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         155     1.07153    -2.67256    0.143326
         156     1.12334    -2.64823    0.144458
         157     1.17366    -2.62389    0.145574
         158     1.22343    -2.59954    0.146675
         159     1.27264    -2.57518    0.147761
         160     1.32102    -2.55083     0.14883
         161      1.3683    -2.52649    0.149883
         162     1.41496    -2.50216     0.15092
         163     1.46025    -2.47785    0.151939
         164     1.50512    -2.45356    0.152941
         165     1.54882    -2.42931    0.153926
         166     1.59205    -2.40508    0.154893
         167     1.63409     -2.3809    0.155843
         168     1.67587    -2.35675    0.156775
         169     1.71593    -2.33265    0.157688
         170      1.7545    -2.30861    0.158583
         171     1.79253    -2.28462    0.159459
         172     1.82879    -2.26071    0.160315
         173     1.86449    -2.23686    0.161152
         174      1.8996    -2.21309     0.16197
         175     1.93316     -2.1894    0.162768
         176     1.96588    -2.16579    0.163546
         177      1.9975    -2.14227    0.164305
         178     2.02802    -2.11884    0.165044
         179     2.05719    -2.09551    0.165763
         180     2.08477    -2.07228    0.166461
         181     2.11147    -2.04917    0.167138
         182     2.13754    -2.02617    0.167795
         183     2.16226    -2.00328    0.168432
         184     2.18585    -1.98051    0.169049
         185     2.20834    -1.95787    0.169644
         186      2.2302    -1.93535     0.17022
         187     2.25072    -1.91297    0.170775
         188     2.26968    -1.89072     0.17131
         189     2.28803    -1.86861    0.171824
         190     2.30532    -1.84664    0.172319
         191      2.3218    -1.82482    0.172793
         192     2.33725    -1.80314    0.173248
         193      2.3512    -1.78161    0.173682
         194     2.36439    -1.76024    0.174097
         195     2.37661    -1.73903    0.174491
         196     2.38788    -1.71797    0.174867
         197     2.39847    -1.69708    0.175223
         198     2.40815    -1.67634    0.175561
         199     2.41625    -1.65578    0.175879
         200     2.42398    -1.63538    0.176179
         201     2.43067    -1.61515     0.17646
         202     2.43681    -1.59509    0.176722
         203     2.44197     -1.5752    0.176967
         204     2.44642    -1.55549    0.177195
         205     2.45066    -1.53595    0.177404
         206     2.45402    -1.51658    0.177597
         207     2.45653    -1.49739    0.177774
         208     2.45846    -1.47837    0.177933
         209     2.46033    -1.45952    0.178077
         210     2.46169    -1.44085    0.178206
         211      2.4621    -1.42235    0.178318
         212     2.46232    -1.40403    0.178416
         213     2.46164    -1.38588    0.178499
         214     2.46156     -1.3679    0.178568
         215     2.46041    -1.35009    0.178623
         216      2.4592    -1.33246    0.178665
         217     2.45747    -1.31499    0.178693
         218     2.45573     -1.2977    0.178709
         219     2.45353    -1.28057    0.178712
         220      2.4509    -1.26361    0.178702
         221      2.4481    -1.24681    0.178681
         222     2.44564    -1.23018    0.178649
         223     2.44307    -1.21371    0.178605
         224     2.44015     -1.1974    0.178551
         225     2.43741    -1.18124    0.178487
         226     2.43437    -1.16524    0.178413
         227     2.43153     -1.1494    0.178329
         228     2.42868     -1.1337    0.178236
         229     2.42582    -1.11816    0.178134
         230     2.42321    -1.10276    0.178024
         231     2.42063    -1.08751    0.177906
         232     2.41784     -1.0724    0.177779
         233     2.41462    -1.05744    0.177645
         234     2.41193    -1.04261    0.177503
         235     2.40883    -1.02792    0.177355
         236     2.40651    -1.01337    0.177199
         237     2.40331   -0.998953    0.177037
         238     2.40091   -0.984668    0.176869
         239     2.39884   -0.970511    0.176694
         240     2.39686    -0.95648    0.176514
         241     2.39472   -0.942575    0.176329
         242     2.39244   -0.928793    0.176138
         243     2.39097   -0.915132    0.175942
         244     2.38911    -0.90159    0.175741
         245      2.3871   -0.888167    0.175536
         246     2.38591   -0.874857    0.175326
         247     2.38359   -0.861665    0.175112
         248     2.38184   -0.848587    0.174893
         249     2.38017    -0.83562    0.174671
         250     2.37858   -0.822763    0.174445
         251     2.37706   -0.810015    0.174215
         252     2.37561   -0.797373    0.173982
         253     2.37423   -0.784837    0.173745
         254     2.37363   -0.772402    0.173506
         255     2.37309   -0.760067    0.173263
         256     2.37163   -0.747834    0.173018
         257      2.3707     -0.7357    0.172769
         258      2.3703   -0.723661    0.172519
         259     2.36993   -0.711717    0.172266
         260     2.36863   -0.699869     0.17201
         261     2.36784   -0.688115    0.171752
         262     2.36707   -0.676454    0.171492
         263     2.36584   -0.664887    0.171229
         264     2.36461   -0.653411    0.170965
         265     2.36413   -0.642024    0.170699
         266     2.36364   -0.630725     0.17043
         267     2.36316   -0.619512    0.170161
         268      2.3622   -0.608386    0.169889
         269     2.36172   -0.597345    0.169616
         270     2.36123   -0.586387    0.169341
         271     2.36073   -0.575512    0.169065
         272      2.3607   -0.564717    0.168788
         273      2.3597   -0.554005    0.168509
         274      2.3582   -0.543377    0.168229
         275      2.3579   -0.532826    0.167948
         276     2.35734   -0.522355    0.167665
         277     2.35701    -0.51196    0.167382
         278     2.35594   -0.501644    0.167098
         279     2.35485   -0.491406    0.166812
         280     2.35376   -0.481244    0.166525
         281     2.35289   -0.471158    0.166238
         282     2.35201   -0.461147     0.16595
         283     2.35112    -0.45121    0.165661
