#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.68594     2.56797   0.0327738
         169     1.67694      2.5627   0.0330012
         170     1.66821     2.55744   0.0332239
         171     1.65975     2.55219   0.0334418
         172     1.65156     2.54695   0.0336548
         173     1.64365     2.54173   0.0338628
         174     1.63603     2.53652   0.0340659
         175     1.62869     2.53134    0.034264
         176     1.62164     2.52617    0.034457
         177     1.61489     2.52102   0.0346448
         178     1.60843     2.51589   0.0348274
         179     1.60227     2.51079   0.0350049
         180     1.59641     2.50571   0.0351771
         181     1.59086     2.50065    0.035344
         182     1.58561     2.49563   0.0355056
         183     1.58066     2.49063   0.0356619
         184     1.57602     2.48566   0.0358128
         185     1.57168     2.48072   0.0359583
         186     1.56765     2.47581   0.0360985
         187     1.56392     2.47093   0.0362334
         188     1.56049     2.46609   0.0363628
         189     1.55736     2.46128   0.0364869
         190     1.55452     2.45651   0.0366057
         191     1.55197     2.45177   0.0367191
         192      1.5497     2.44707   0.0368272
         193     1.54772     2.44241     0.03693
         194     1.54601     2.43779   0.0370276
         195     1.54457     2.43321     0.03712
         196     1.54339     2.42867   0.0372072
         197     1.54247     2.42417   0.0372892
         198     1.54179     2.41972   0.0373663
         199     1.54136      2.4153   0.0374383
         200     1.54115     2.41093   0.0375054
         201     1.54117      2.4066   0.0375676
         202     1.54139     2.40232    0.037625
         203     1.54182     2.39808   0.0376776
         204     1.54244     2.39389   0.0377257
         205     1.54325     2.38974   0.0377692
         206     1.54422     2.38563   0.0378082
         207     1.54536     2.38158   0.0378428
         208     1.54665     2.37756   0.0378732
         209     1.54807     2.37359   0.0378994
         210     1.54963     2.36967   0.0379214
         211      1.5513     2.36579   0.0379395
         212     1.55308     2.36196   0.0379538
         213     1.55496     2.35817   0.0379642
         214     1.55693     2.35442    0.037971
         215     1.55897     2.35072   0.0379742
         216     1.56108     2.34707   0.0379739
         217     1.56325     2.34346   0.0379704
         218     1.56546     2.33989   0.0379635
         219     1.56772     2.33636   0.0379536
         220        1.57     2.33288   0.0379406
         221     1.57231     2.32944   0.0379246
         222     1.57463     2.32604   0.0379059
         223     1.57696     2.32268   0.0378845
         224     1.57929     2.31936   0.0378604
         225     1.58161     2.31608   0.0378339
         226     1.58392     2.31284   0.0378049
         227     1.58621     2.30964   0.0377737
         228     1.58847     2.30648   0.0377402
         229     1.59071     2.30335   0.0377046
         230     1.59292     2.30026    0.037667
         231     1.59509     2.29721   0.0376274
         232     1.59722     2.29419    0.037586
         233     1.59931     2.29121   0.0375428
         234     1.60135     2.28826   0.0374979
         235     1.60334     2.28535   0.0374515
         236     1.60529     2.28247   0.0374035
         237     1.60718     2.27962    0.037354
         238     1.60902      2.2768   0.0373032
         239     1.61081     2.27401    0.037251
         240     1.61254     2.27126   0.0371977
         241     1.61421     2.26853   0.0371431
         242     1.61584     2.26583   0.0370874
         243     1.61741     2.26316   0.0370306
         244     1.61892     2.26052   0.0369729
         245     1.62038     2.25791   0.0369142
         246     1.62179     2.25532   0.0368546
         247     1.62315     2.25277   0.0367941
         248     1.62446     2.25023   0.0367329
         249     1.62572     2.24772   0.0366709
         250     1.62693     2.24524   0.0366082
         251      1.6281     2.24278   0.0365448
         252     1.62923     2.24035   0.0364808
         253     1.63031     2.23794   0.0364162
         254     1.63136     2.23555   0.0363511
         255     1.63237     2.23318   0.0362854
         256     1.63334     2.23084   0.0362192
         257     1.63428     2.22852   0.0361526
         258     1.63519     2.22622   0.0360855
         259     1.63606     2.22394   0.0360181
         260     1.63691     2.22168   0.0359502
         261     1.63774     2.21944   0.0358821
         262     1.63854     2.21723   0.0358135
         263     1.63932     2.21503   0.0357447
         264     1.64009     2.21285   0.0356756
         265     1.64083     2.21069   0.0356062
         266     1.64156     2.20855   0.0355366
         267     1.64228     2.20643   0.0354667
         268     1.64298     2.20433   0.0353966
         269     1.64367     2.20225   0.0353264
         270     1.64435     2.20018   0.0352559
         271     1.64502     2.19813   0.0351853
         272     1.64568      2.1961   0.0351145
         273     1.64634     2.19409   0.0350436
         274     1.64698     2.19209   0.0349725
         275     1.64763     2.19011   0.0349013
         276     1.64826     2.18815     0.03483
         277     1.64889      2.1862   0.0347587
         278     1.64952     2.18427   0.0346872
         279     1.65014     2.18236   0.0346157
         280     1.65076     2.18046   0.0345441
         281     1.65137     2.17857   0.0344724
         282     1.65197     2.17671   0.0344007
         283     1.65257     2.17485    0.034329
         284     1.65316     2.17302   0.0342572
         285     1.65375      2.1712   0.0341854
         286     1.65433     2.16939   0.0341136
         287      1.6549      2.1676   0.0340418
         288     1.65547     2.16582     0.03397
         289     1.65603     2.16405   0.0338983
         290     1.65658      2.1623   0.0338265
         291     1.65712     2.16057   0.0337548
         292     1.65765     2.15885   0.0336831
         293     1.65818     2.15714   0.0336115
         294     1.65869     2.15544   0.0335399
         295     1.65919     2.15376   0.0334683
         296     1.65968     2.15209   0.0333969
         297     1.66016     2.15043   0.0333255
         298     1.66062     2.14879   0.0332541
         299     1.66108     2.14716   0.0331829
