#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.19809    -5.99913   0.0294066
         153    -5.18576    -5.99381   0.0296911
         154    -5.17406    -5.98849   0.0299716
         155    -5.16209    -5.98316   0.0302488
         156    -5.15017    -5.97782   0.0305225
         157     -5.1389    -5.97247   0.0307923
         158    -5.12768    -5.96713   0.0310581
         159    -5.11653    -5.96178   0.0313201
         160    -5.10559    -5.95643   0.0315782
         161    -5.09502    -5.95107   0.0318321
         162    -5.08454    -5.94573   0.0320819
         163    -5.07459    -5.94038   0.0323271
         164    -5.06457    -5.93504   0.0325681
         165    -5.05496    -5.92971   0.0328046
         166    -5.04529    -5.92438   0.0330368
         167    -5.03603    -5.91906   0.0332645
         168    -5.02657    -5.91375    0.033488
         169    -5.01784    -5.90845   0.0337068
         170    -5.00968    -5.90316   0.0339207
         171    -5.00149    -5.89789   0.0341297
         172    -4.99404    -5.89263   0.0343334
         173    -4.98656    -5.88739   0.0345321
         174    -4.97907    -5.88217    0.034726
         175    -4.97218    -5.87697   0.0349147
         176    -4.96542    -5.87179   0.0350984
         177    -4.95896    -5.86664   0.0352769
         178     -4.9528     -5.8615   0.0354503
         179     -4.9471     -5.8564   0.0356185
         180      -4.942    -5.85132    0.035781
         181    -4.93705    -5.84626   0.0359381
         182     -4.9321    -5.84124   0.0360899
         183    -4.92761    -5.83625   0.0362364
         184    -4.92343    -5.83129   0.0363775
         185    -4.91955    -5.82636   0.0365131
         186    -4.91567    -5.82146   0.0366436
         187    -4.91223     -5.8166   0.0367689
         188     -4.9094    -5.81178   0.0368886
         189    -4.90656    -5.80699    0.037003
         190    -4.90401    -5.80223   0.0371122
         191     -4.9016    -5.79752   0.0372162
         192    -4.89946    -5.79284   0.0373152
         193     -4.8979     -5.7882   0.0374088
         194    -4.89646    -5.78361   0.0374973
         195    -4.89529    -5.77905   0.0375808
         196    -4.89436    -5.77454   0.0376591
         197    -4.89354    -5.77007   0.0377325
         198    -4.89295    -5.76564   0.0378011
         199    -4.89305    -5.76125   0.0378646
         200    -4.89306    -5.75691   0.0379233
         201    -4.89344    -5.75261   0.0379772
         202    -4.89387    -5.74836   0.0380264
         203    -4.89465    -5.74416   0.0380709
         204     -4.8956       -5.74   0.0381108
         205    -4.89643    -5.73588   0.0381464
         206    -4.89756    -5.73181   0.0381777
         207      -4.899    -5.72779   0.0382047
         208    -4.90058    -5.72381   0.0382274
         209    -4.90198    -5.71988   0.0382462
         210    -4.90351    -5.71599   0.0382612
         211    -4.90544    -5.71215   0.0382722
         212    -4.90732    -5.70836   0.0382795
         213    -4.90959    -5.70461    0.038283
         214    -4.91133     -5.7009   0.0382832
         215    -4.91359    -5.69724   0.0382798
         216    -4.91576    -5.69362   0.0382732
         217    -4.91813    -5.69005   0.0382633
         218    -4.92038    -5.68651   0.0382503
         219    -4.92282    -5.68303   0.0382343
         220    -4.92543    -5.67958   0.0382153
         221    -4.92805    -5.67618   0.0381933
         222    -4.93038    -5.67282   0.0381688
         223    -4.93271     -5.6695   0.0381416
         224    -4.93518    -5.66623    0.038112
         225    -4.93749    -5.66299     0.03808
         226    -4.93993    -5.65979   0.0380456
         227     -4.9422    -5.65663   0.0380091
         228    -4.94444     -5.6535   0.0379706
         229    -4.94665    -5.65042     0.03793
         230    -4.94867    -5.64737   0.0378876
         231    -4.95065    -5.64435   0.0378434
         232    -4.95273    -5.64137   0.0377976
         233    -4.95508    -5.63842   0.0377499
