#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         149    -3.33498    -3.34671  0.00102065
         150    -3.33559    -3.34664  0.00101654
         151     -3.3359    -3.34657  0.00101229
         152    -3.33637     -3.3465  0.00100785
         153    -3.33655    -3.34643  0.00100336
         154    -3.33718    -3.34637 0.000998643
         155    -3.33737    -3.34632  0.00099389
         156    -3.33741    -3.34626 0.000989158
         157    -3.33791    -3.34621 0.000984287
         158    -3.33827    -3.34616 0.000979339
         159    -3.33848    -3.34611 0.000974369
         160    -3.33869    -3.34606 0.000969381
         161    -3.33907    -3.34602 0.000964333
         162     -3.3393    -3.34598 0.000959272
         163    -3.33983    -3.34594 0.000954128
         164    -3.34007     -3.3459  0.00094898
         165    -3.34047    -3.34587   0.0009438
         166    -3.34057    -3.34584 0.000938655
         167    -3.34082    -3.34581 0.000933515
         168    -3.34063    -3.34578 0.000928467
         169     -3.3409    -3.34575 0.000923422
         170    -3.34147    -3.34572 0.000918333
         171    -3.34174     -3.3457 0.000913257
         172    -3.34248    -3.34568  0.00090814
         173    -3.34291    -3.34566 0.000903031
         174    -3.34305    -3.34565 0.000897967
         175    -3.34349    -3.34564 0.000892921
         176    -3.34378    -3.34563 0.000887909
         177    -3.34408    -3.34562 0.000882936
         178    -3.34438    -3.34561 0.000878003
         179    -3.34483    -3.34561 0.000873109
         180    -3.34558    -3.34561 0.000868259
         181    -3.34619    -3.34561 0.000863468
         182     -3.3465    -3.34561 0.000858737
         183    -3.34695    -3.34562 0.000854076
         184    -3.34741    -3.34563 0.000849489
         185    -3.34786    -3.34564 0.000844983
         186    -3.34801    -3.34566 0.000840536
         187    -3.34831    -3.34567 0.000836161
         188    -3.34891    -3.34569 0.000831891
         189    -3.34921    -3.34571 0.000827697
         190     -3.3495    -3.34573 0.000823581
         191    -3.34963    -3.34575 0.000819523
         192    -3.34976    -3.34577 0.000815521
         193    -3.35019    -3.34579 0.000811617
         194    -3.35046    -3.34581  0.00080779
         195    -3.35072    -3.34584 0.000804038
         196    -3.35097    -3.34587 0.000800363
         197    -3.35107    -3.34589 0.000796736
         198    -3.35116    -3.34592 0.000793156
         199    -3.35169    -3.34595 0.000789701
         200    -3.35191    -3.34598 0.000786316
         201    -3.35228    -3.34601 0.000783028
         202    -3.35248    -3.34604 0.000779807
         203    -3.35282    -3.34607 0.000776681
         204    -3.35316    -3.34611  0.00077365
         205    -3.35318    -3.34614 0.000770644
         206    -3.35334    -3.34618 0.000767695
         207    -3.35364    -3.34621 0.000764833
         208    -3.35393    -3.34625 0.000762056
         209    -3.35391    -3.34629 0.000759291
         210    -3.35388    -3.34632 0.000756535
         211    -3.35414    -3.34636 0.000753856
         212    -3.35424     -3.3464 0.000751216
         213    -3.35463    -3.34644 0.000748682
         214     -3.3544    -3.34647 0.000746108
         215    -3.35462    -3.34651   0.0007436
         216    -3.35468    -3.34655 0.000741118
         217    -3.35488    -3.34659 0.000738696
         218    -3.35492    -3.34663 0.000736296
         219     -3.3551    -3.34667  0.00073395
         220    -3.35543    -3.34671 0.000731693
         221    -3.35574    -3.34675 0.000729524
         222    -3.35575    -3.34679 0.000727364
         223    -3.35575    -3.34683 0.000725213
         224     -3.3559    -3.34687 0.000723105
         225    -3.35588    -3.34691    0.000721
         226    -3.35602    -3.34695 0.000718936
         227    -3.35599    -3.34699 0.000716872
         228    -3.35597    -3.34703 0.000714809
         229    -3.35593    -3.34707 0.000712745
         230    -3.35575     -3.3471 0.000710645
         231    -3.35556    -3.34714 0.000708509
         232    -3.35551    -3.34718 0.000706374
         233    -3.35577    -3.34721 0.000704304
         234    -3.35572    -3.34725 0.000702232
         235    -3.35597    -3.34729 0.000700224
         236    -3.35577    -3.34732 0.000698179
         237    -3.35617    -3.34736 0.000696231
         238    -3.35612     -3.3474 0.000694277
         239    -3.35591    -3.34743 0.000692286
         240    -3.35571    -3.34747 0.000690259
         241    -3.35565     -3.3475  0.00068823
         242    -3.35575    -3.34754  0.00068623
         243    -3.35539    -3.34757 0.000684167
         244    -3.35534     -3.3476 0.000682104
         245    -3.35544    -3.34763  0.00068007
         246    -3.35508    -3.34766  0.00067798
         247    -3.35549    -3.34769 0.000675975
         248    -3.35559    -3.34773    0.000674
         249     -3.3557    -3.34776 0.000672053
         250     -3.3558    -3.34779 0.000670135
         251    -3.35591    -3.34782 0.000668245
         252    -3.35602    -3.34785 0.000666385
         253    -3.35613    -3.34789 0.000664553
         254    -3.35579    -3.34792 0.000662665
         255    -3.35545    -3.34795 0.000660725
         256    -3.35572    -3.34798 0.000658841
         257    -3.35569    -3.34801 0.000656961
         258    -3.35536    -3.34804 0.000655032
         259    -3.35503    -3.34806 0.000653059
         260    -3.35531    -3.34809 0.000651141
         261    -3.35528    -3.34812 0.000649229
         262    -3.35526    -3.34815 0.000647323
         263    -3.35554    -3.34817 0.000645472
         264    -3.35583     -3.3482 0.000643678
         265    -3.35566    -3.34823 0.000641864
         266     -3.3555    -3.34826 0.000640032
         267    -3.35533    -3.34829 0.000638183
         268    -3.35547    -3.34831 0.000636364
         269    -3.35531    -3.34834  0.00063453
         270    -3.35515    -3.34836 0.000632681
         271    -3.35499    -3.34839 0.000630819
         272    -3.35453    -3.34841 0.000628904
         273    -3.35467    -3.34843 0.000627018
         274    -3.35512    -3.34846 0.000625204
         275    -3.35481    -3.34848 0.000623358
         276    -3.35466     -3.3485 0.000621501
         277    -3.35435    -3.34852 0.000619615
         278    -3.35449    -3.34855 0.000617758
         279    -3.35464    -3.34857  0.00061593
         280    -3.35479    -3.34859  0.00061413
         281    -3.35478    -3.34861  0.00061234
         282    -3.35477    -3.34863 0.000610558
         283    -3.35477    -3.34866 0.000608785
         284    -3.35476    -3.34868 0.000607021
         285    -3.35476     -3.3487 0.000605266
         286    -3.35505    -3.34872 0.000603557
         287    -3.35504    -3.34874 0.000601856
         288    -3.35473    -3.34876 0.000600126
         289    -3.35473    -3.34878 0.000598404
         290    -3.35457     -3.3488 0.000596672
         291    -3.35456    -3.34882 0.000594949
         292     -3.3544    -3.34884 0.000593218
         293    -3.35469    -3.34886 0.000591528
         294    -3.35483    -3.34888 0.000589864
         295    -3.35451     -3.3489 0.000588173
         296     -3.3542    -3.34892 0.000586458
         297    -3.35434    -3.34894 0.000584768
         298    -3.35448    -3.34896 0.000583101
         299    -3.35431    -3.34897 0.000581426
         300     -3.3546    -3.34899  0.00057979
         301    -3.35459    -3.34901 0.000578162
         302    -3.35458    -3.34903 0.000576542
         303    -3.35457    -3.34905 0.000574928
         304    -3.35456    -3.34907 0.000573322
         305     -3.3547    -3.34909  0.00057174
         306    -3.35454     -3.3491 0.000570148
         307    -3.35468    -3.34912  0.00056858
         308    -3.35437    -3.34914 0.000566989
         309    -3.35436    -3.34916 0.000565406
         310    -3.35451    -3.34917 0.000563846
         311    -3.35465    -3.34919 0.000562308
         312     -3.3542    -3.34921 0.000560734
         313    -3.35419    -3.34922 0.000559169
         314    -3.35435    -3.34924 0.000557626
         315     -3.3545    -3.34926 0.000556106
         316    -3.35465    -3.34927 0.000554609
         317    -3.35466    -3.34929 0.000553119
         318    -3.35451    -3.34931 0.000551624
         319    -3.35452    -3.34932 0.000550137
         320    -3.35453    -3.34934 0.000548658
         321    -3.35484    -3.34936 0.000547217
         322    -3.35516    -3.34937 0.000545814
         323    -3.35548    -3.34939 0.000544451
         324    -3.35579    -3.34941 0.000543129
         325    -3.35581    -3.34943 0.000541815
         326    -3.35583    -3.34945 0.000540508
         327      -3.356    -3.34947 0.000539226
         328    -3.35632    -3.34949 0.000537986
         329    -3.35634    -3.34951 0.000536753
         330    -3.35651    -3.34953 0.000535545
         331    -3.35638    -3.34956 0.000534326
         332    -3.35625    -3.34958 0.000533096
         333    -3.35657     -3.3496 0.000531909
         334    -3.35643    -3.34962  0.00053071
         335     -3.3569    -3.34964 0.000529571
         336    -3.35707    -3.34966 0.000528457
         337    -3.35708    -3.34968 0.000527348
         338     -3.3571     -3.3497 0.000526244
         339    -3.35741    -3.34973 0.000525182
         340    -3.35696    -3.34975 0.000524068
         341    -3.35667    -3.34977 0.000522924
         342    -3.35667    -3.34979 0.000521784
         343    -3.35682    -3.34981 0.000520666
         344    -3.35697    -3.34983 0.000519568
         345    -3.35681    -3.34985 0.000518456
         346    -3.35695    -3.34987 0.000517364
         347    -3.35679    -3.34989 0.000516257
         348    -3.35647    -3.34991  0.00051512
         349     -3.3563    -3.34993  0.00051397
         350    -3.35613    -3.34995 0.000512807
         351    -3.35641    -3.34996 0.000511676
         352    -3.35653    -3.34998 0.000510563
         353     -3.3565       -3.35  0.00050945
         354    -3.35646    -3.35002 0.000508337
         355    -3.35627    -3.35004 0.000507211
         356    -3.35654    -3.35006 0.000506114
         357    -3.35619    -3.35007 0.000504988
         358    -3.35629    -3.35009 0.000503877
         359    -3.35579    -3.35011 0.000502723
         360    -3.35559    -3.35012 0.000501558
         361    -3.35554    -3.35014 0.000500393
         362    -3.35534    -3.35015 0.000499217
         363    -3.35558    -3.35017 0.000498066
         364    -3.35538    -3.35018 0.000496904
