#   N_BLOCK:  ACCEPTANCE:
           1     0.49495
           2    0.495753
           3    0.495292
           4     0.49576
           5    0.495707
           6    0.495801
           7    0.495677
           8    0.495611
           9    0.495677
          10    0.495743
          11    0.495668
          12    0.495661
          13    0.495511
          14    0.495524
          15     0.49551
          16    0.495571
          17    0.495662
          18    0.495666
          19    0.495525
          20     0.49556
          21    0.495523
          22     0.49551
          23    0.495499
          24    0.495433
          25    0.495384
          26     0.49538
          27    0.495338
          28    0.495332
          29    0.495323
          30    0.495353
          31    0.495366
          32    0.495398
          33    0.495375
          34     0.49535
          35    0.495305
          36    0.495276
          37    0.495272
          38    0.495251
          39    0.495264
          40    0.495276
          41    0.495258
          42    0.495229
          43    0.495266
          44    0.495241
          45    0.495254
          46    0.495241
          47    0.495239
          48    0.495242
          49    0.495222
          50    0.495228
