#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.68365     1.68365           0
           2      1.6748     1.67923  0.00312855
           3     1.74489     1.70111   0.0179921
           4     1.65937     1.69068   0.0162411
           5     1.65668     1.68388   0.0143457
           6     1.66033     1.67995   0.0124801
           7     1.67104     1.67868    0.010762
           8     1.71092     1.68271   0.0101433
           9     1.67382     1.68172  0.00906423
          10     1.68517     1.68207  0.00816437
          11     1.65361     1.67948   0.0078213
          12     1.67627     1.67921  0.00717411
          13     1.71552     1.68201  0.00714527
          14     1.70997       1.684   0.0069085
          15     1.71652     1.68617  0.00677947
          16     1.65442     1.68419  0.00663979
          17     1.69199     1.68465  0.00626503
          18     1.68452     1.68464  0.00591698
          19     1.69808     1.68535  0.00564768
          20     1.70962     1.68656   0.0054942
          21     1.69657     1.68704   0.0052532
          22     1.70572     1.68789  0.00508258
          23     1.70912     1.68881  0.00494476
          24     1.71281     1.68981  0.00483881
          25     1.74384     1.69197  0.00510517
          26     1.68455     1.69168   0.0049168
          27     1.68029     1.69126  0.00475277
          28      1.6651     1.69033  0.00467396
          29     1.70593     1.69087  0.00454363
          30     1.67747     1.69042  0.00441405
          31     1.72946     1.69168  0.00444772
          32     1.71125     1.69229  0.00435056
          33     1.69053     1.69224  0.00421906
          34     1.68391     1.69199  0.00410207
          35     1.73388     1.69319  0.00415579
          36     1.66831      1.6925  0.00409741
          37     1.70466     1.69283  0.00399982
          38     1.73113     1.69383  0.00401954
          39     1.66597     1.69312  0.00397945
          40     1.68484     1.69291  0.00388535
          41     1.68461     1.69271  0.00379585
          42     1.72667     1.69352  0.00379062
          43     1.67928     1.69319   0.0037169
          44     1.70502     1.69346  0.00364214
          45     1.65897     1.69269  0.00364096
          46     1.65901     1.69196  0.00363467
          47     1.69853      1.6921  0.00356003
          48     1.68043     1.69186  0.00349415
          49     1.72798     1.69259  0.00349977
          50     1.67745     1.69229  0.00344285
