#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.040684    0.040684           0
           2   0.0357693   0.0382267   0.0017376
           3   0.0360507   0.0375013  0.00130101
           4   0.0363613   0.0372163  0.00100649
           5   0.0420853   0.0381901  0.00118615
           6   0.0339133   0.0374773  0.00118341
           7    0.028836   0.0362429  0.00152812
           8     0.02532   0.0348775  0.00184906
           9   0.0351467   0.0349074  0.00164385
          10    0.037636   0.0351803  0.00150194
          11   0.0355413   0.0352131  0.00136576
          12   0.0330787   0.0350352  0.00126347
          13    0.035836   0.0350968  0.00116778
          14     0.03294   0.0349428  0.00109449
          15    0.033068   0.0348178  0.00102863
          16    0.034264   0.0347832 0.000964924
          17   0.0331267   0.0346857 0.000913071
          18   0.0348827   0.0346967  0.00086241
          19   0.0373173   0.0348346 0.000827976
          20    0.036152   0.0349005 0.000789193
          21    0.033408   0.0348294 0.000754806
          22    0.033568   0.0347721 0.000722671
          23   0.0349213   0.0347786  0.00069128
          24    0.034368   0.0347614 0.000662688
          25   0.0340267   0.0347321 0.000636832
          26    0.037416   0.0348353 0.000620649
          27   0.0313413   0.0347059 0.000611003
          28    0.037312    0.034799 0.000596229
          29   0.0356013   0.0348266 0.000576311
          30   0.0350053   0.0348326 0.000557131
          31   0.0305933   0.0346958 0.000555689
          32    0.029992   0.0345488 0.000557427
          33   0.0338693   0.0345282 0.000540915
          34   0.0367813   0.0345945 0.000529049
          35   0.0286347   0.0344242 0.000540643
          36   0.0281893    0.034251  0.00055267
          37    0.037748   0.0343455 0.000545754
          38   0.0347027   0.0343549 0.000531473
          39   0.0301947   0.0342483 0.000528443
          40   0.0313053   0.0341747 0.000520328
          41   0.0277587   0.0340182 0.000530648
          42   0.0379293   0.0341113 0.000526121
          43   0.0349747   0.0341314 0.000514268
          44   0.0412027   0.0342921 0.000527094
          45   0.0261627   0.0341115 0.000545461
          46   0.0284573   0.0339886 0.000547277
          47    0.036716   0.0340466 0.000538701
          48   0.0384867   0.0341391 0.000535361
          49     0.03262   0.0341081 0.000525332
          50   0.0385667   0.0341973 0.000522339
